t2_printed_name,t4_printed_name,t4_alphabetic_name_long,t5_alphabetic_name_long,category,count,avg_value,total_value,max_value
Ralph R. McKee Career and Technical Education High School,Ralph R. McKee Career and Technical Education High School,Ralph R. McKee Career and Technical Education High School,Ralph R. McKee Career and Technical Education High School,High program count,1,6.0,6,6
"The Young Women's Leadership School, Queens","The Young Women's Leadership School, Queens","Young Women's Leadership School, Queens, The","Young Women's Leadership School, Queens, The",Low program count,1,1.0,1,1
Williamsburg High School for Architecture and Design,Williamsburg High School for Architecture and Design,Williamsburg High School for Architecture and Design,Williamsburg High School for Architecture and Design,Low program count,1,1.0,1,1
Gaynor McCown Expeditionary Learning School,Gaynor McCown Expeditionary Learning School,Gaynor McCown Expeditionary Learning School,Gaynor McCown Expeditionary Learning School,Low program count,1,1.0,1,1
Academy of Innovative Technology,Academy of Innovative Technology,Academy of Innovative Technology,Academy of Innovative Technology,Low program count,1,1.0,1,1
Mott Hall High School,Mott Hall High School,Mott Hall High School,Mott Hall High School,Low program count,1,1.0,1,1
Juan Morel Campos Secondary School,Juan Morel Campos Secondary School,Juan Morel Campos Secondary School,Juan Morel Campos Secondary School,Medium program count,1,4.0,4,4
High School for Energy and Technology,High School for Energy and Technology,High School for Energy and Technology,High School for Energy and Technology,Low program count,1,1.0,1,1
Landmark High School,Landmark High School,Landmark High School,Landmark High School,Low program count,1,1.0,1,1
Bronx Center for Science and Mathematics,Bronx Center for Science and Mathematics,Bronx Center for Science and Mathematics,Bronx Center for Science and Mathematics,Low program count,1,1.0,1,1
Harry S Truman High School,Harry S Truman High School,Harry S Truman High School,Harry S Truman High School,High program count,1,7.0,7,7
International Community High School,International Community High School,International Community High School,International Community High School,Low program count,1,1.0,1,1
Middle College High School at LaGuardia Community College,Middle College High School at LaGuardia Community College,Middle College High School at LaGuardia Community College,Middle College High School at LaGuardia Community College,Low program count,1,1.0,1,1
Frederick Douglass Academy IV Secondary School,Frederick Douglass Academy IV Secondary School,Frederick Douglass Academy IV Secondary School,Frederick Douglass Academy IV Secondary School,Low program count,1,1.0,1,1
Bronxdale High School,Bronxdale High School,Bronxdale High School,Bronxdale High School,Low program count,1,1.0,1,1
John Dewey High School,John Dewey High School,John Dewey High School,John Dewey High School,High program count,1,8.0,8,8
Queens Preparatory Academy,Queens Preparatory Academy,Queens Preparatory Academy,Queens Preparatory Academy,Low program count,1,1.0,1,1
High School for Media and Communications,High School for Media and Communications,High School for Media and Communications,High School for Media and Communications,Low program count,1,1.0,1,1
Preparatory Academy for Writers: A College Board School,Preparatory Academy for Writers: A College Board School,Preparatory Academy for Writers: A College Board School,Preparatory Academy for Writers: A College Board School,Low program count,1,1.0,1,1
New Utrecht High School,New Utrecht High School,New Utrecht High School,New Utrecht High School,High program count,1,8.0,8,8
Energy Tech High School,Energy Tech High School,Energy Tech High School,Energy Tech High School,Low program count,1,1.0,1,1
