project_start_date,prevailing_wage_status,project_name,category,count,avg_value,total_value,max_value
2024-08-27 00:00:00,Non Prevailing Wage,THE TRIO APARTMENTS,Small Project,1,34.0,34,34
2025-03-31 00:00:00,Non Prevailing Wage,130 EAST 165TH STREET APARTMENTS,Medium Project,1,75.0,75,75
2024-07-01 00:00:00,Non Prevailing Wage,2040 MCGRAW AVE APARTMENTS,Small Project,1,24.0,24,24
2025-03-31 00:00:00,Non Prevailing Wage,NORTH SHORE PLAZA.YR15.FY25,Large Project,12,122.0,1464,122
2025-06-30 00:00:00,Non Prevailing Wage,MORNINGSIDE HEIGHTS III. HPO.FY25,Small Project,2,14.5,29,19
2025-04-25 00:00:00,Non Prevailing Wage,21-07 ASTORIA BLVD APARTMENTS,Medium Project,1,68.0,68,68
2025-01-30 00:00:00,Non Prevailing Wage,SALEM HOUSE.YR15.FY25,Small Project,1,48.0,48,48
2025-05-14 00:00:00,Non Prevailing Wage,153 EAST 51 STREET,Small Project,1,9.0,9,9
2024-10-10 00:00:00,Non Prevailing Wage,1305 SHAKESPEARE AVENUE,Small Project,1,8.0,8,8
2025-03-31 00:00:00,Non Prevailing Wage,NORTH SHORE PLAZA.YR15.FY25,Small Project,60,1.0,60,1
2024-12-23 00:00:00,Non Prevailing Wage,1644 NEW YORK AVENUE,Small Project,1,36.0,36,36
2024-12-19 00:00:00,Non Prevailing Wage,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Small Project,270,10.933333333333334,2952,15
2025-03-27 00:00:00,Non Prevailing Wage,180 PENNSYLVANIA AVE APARTMENTS,Small Project,1,50.0,50,50
2025-06-30 00:00:00,Non Prevailing Wage,TIMPSON PLACE HDFC.GHPP.FY25,Small Project,2,32.0,64,42
2024-09-05 00:00:00,Non Prevailing Wage,633 EAST 230 STREET,Small Project,1,25.0,25,25
2024-08-19 00:00:00,Non Prevailing Wage,23-10 42ND ROAD APARTMENTS,Large Project,1,240.0,240,240
2024-12-20 00:00:00,Non Prevailing Wage,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),Small Project,6,6.0,36,8
2025-06-30 00:00:00,Non Prevailing Wage,UPS. 1806 ANTHONY AVE,Large Project,1,111.0,111,111
2025-03-31 00:00:00,Non Prevailing Wage,256 MT HOPE PLACE_HPS,Small Project,1,42.0,42,42
2024-07-11 00:00:00,Non Prevailing Wage,22-25 NEW HAVEN AVENUE APARTMENTS,Small Project,1,26.0,26,26
2025-04-25 00:00:00,Non Prevailing Wage,CLAREMONT PARK APARTMENTS.YR15.FY25,Medium Project,1,98.0,98,98
2025-03-12 00:00:00,Non Prevailing Wage,131 CONCORD STREET APARTMENTS,Medium Project,1,73.0,73,73
2025-06-13 00:00:00,Non Prevailing Wage,B&R.YR15.FY25,Small Project,3,5.666666666666667,17,8
2025-01-01 00:00:00,Non Prevailing Wage,JERICHO HOUSE,Medium Project,1,56.0,56,56
2024-06-28 00:00:00,Non Prevailing Wage,CROTONA PARK WEST HDFC.HPO.FY24,Small Project,7,25.571428571428573,179,48
2025-03-31 00:00:00,Non Prevailing Wage,MORNINGSIDE HEIGHTS III. HPO.FY25,Small Project,2,14.5,29,19
2024-10-07 00:00:00,Non Prevailing Wage,2769 CRESTON AVENUE,Small Project,1,44.0,44,44
2025-06-27 00:00:00,Non Prevailing Wage,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,Small Project,2,8.0,16,11
2025-06-26 00:00:00,Non Prevailing Wage,MASARYK TOWERS.HRP.FY25,Large Project,1,219.0,219,219
2024-09-19 00:00:00,Non Prevailing Wage,WEST FARMS.HUDMF.FY25,Large Project,2,138.0,276,169
2025-04-22 00:00:00,Non Prevailing Wage,37-42 30TH STREET,Medium Project,1,63.0,63,63
2024-12-30 00:00:00,Non Prevailing Wage,NEW PENN DEVELOPMENT,Small Project,3,4.0,12,4
2025-05-29 00:00:00,Non Prevailing Wage,SOUTH BUSHWICK NEIGHBORHOOD HOMES (SBNH),Small Project,1,8.0,8,8
