_2nd_largest_property_use,address_1,total,average,count
Restaurant,116 West Houston St.,66542.3,66542.3,1
,856 Quincy Street,2094761.2,2094761.2,1
Retail Store,210 Amsterdam Avenue,4939856.1,4939856.1,1
,1901 Ocean Parkway,6712632.3,6712632.3,1
,51-01 Grand Ave,20643084.6,3440514.1,6
,1864 85 st.,1087776.6,1087776.6,2
K-12 School,300 Vanderbilt Avenue,245809.0,245809.0,1
,15-30 Petracca Place,3554618.2,3554618.2,1
,2357 Prospect Ave.,577277.3,577277.3,1
,114 East 85th Street,,,1
Other - Restaurant/Bar,1410 Broadway,14669112.7,14669112.7,1
,102-01 66th Road,24354115.6,24354115.6,1
Restaurant,85 Broad Street,50811504.0,50811504.0,1
,975 Georgia Ave.,1857629.3,1857629.3,1
,1295 Madison Avenue,3946479.6,3946479.6,1
,1301 Surf Avenue,,,1
,380 BROADWAY,30533.7,30533.7,1
Medical Office,380 EAST 18 ST,1927126.6,1927126.6,1
Retail Store,40 West 37th Street,3092591.0,1546295.5,2
,117 West 70th St,2849914.3,2849914.3,1
Retail Store,250 West 57th Street,45545027.4,22772513.7,2
,165-01 Chapin Parkway,,,1
,28 Second Ave,652804.7,652804.7,1
,600 Burke Ave,1460837.6,730418.8,2
,211 E 13th St,2384042.9,2384042.9,1
,2240 Walton Ave,1015421.4,1015421.4,1
,34-24 Hunters Point Avenue,16213.8,16213.8,1
Convenience Store without Gas Station,525 Seventh Avenue,18711056.6,18711056.6,1
Parking,425 East 58th Street,29697682.9,29697682.9,1
,105 West 55 St.,,,1
Manufacturing/Industrial Plant,43-01 22nd street,4567435.0,2283717.5,2
,24-41 31st St,1051476.0,1051476.0,1
,777 East 31 St,1628687.8,1628687.8,1
,209 (211) East 43rd Street,6085452.1,6085452.1,1
,95 West 162nd Street,357323.7,357323.7,1
,134 Ocean Parkway,,,4
,1530-1532 Townsend Ave,676989.3,676989.3,1
Retail Store,130 Fifth Avenue,6795008.2,6795008.2,1
,2766 university avenue,2660442.8,665110.7,4
,2753 Ocean Avenue,172311.0,86155.5,2
,1701 W 3rd Street,334421.8,334421.8,1
Parking,99-52 66 Road,,,1
,815 Second Avenue,4667865.1,4667865.1,1
Retail Store,119 West 57th Street,5346310.6,5346310.6,1
,40 Worth Street,32269000.2,32269000.2,1
,508-516 West 26th Street,1667321.6,1667321.6,1
,2446 University Avenue,,,1
,8801 Shore Road,3310988.8,3310988.8,1
Bank Branch,60 East 42nd Street,109029470.39999999,36343156.8,3
Retail Store,665 Fifth Ave,8988402.2,8988402.2,1
