fact_column,total_dimension1,average_dimension2,org_content_id,org_title,org_content_id,category_desc,display_url
Queens Satellite High School for Opportunity,15,0.0,38369,Queens Satellite High School for Opportunity,38369,Education,/opportunities/5165
Habitat-NYC,10,0.0,39587,Habitat-NYC,39587,Strengthening Communities,/opportunities/5331
"Services for the UnderServed, Inc.",9,0.0,38951,"Services for the UnderServed, Inc.",38951,Helping Neighbors in Need,/opportunities/5541
Learning Leaders,40,0.0,213,Learning Leaders,213,Strengthening Communities,/opportunities/5527
The Fresh Air Fund,30,0.0,602,The Fresh Air Fund,602,Education,/opportunities/5624
Children's Museum Of The Arts,30,0.0,1310,Children's Museum Of The Arts,1310,Strengthening Communities,/opportunities/5301
NYC Service,225,0.0,3747,NYC Service,3747,Emergency Preparedness,/opportunities/5679
Metropolitan Council on Jewish Poverty,150,0.0,974,Metropolitan Council on Jewish Poverty,974,Helping Neighbors in Need,/opportunities/5475
New York City Department of Parks & Recreation,680,0.0,3706,New York City Department of Parks & Recreation,3706,Strengthening Communities,/opportunities/5170
WorldofMoney.org,8,0.0,3155,WorldofMoney.org,3155,Strengthening Communities,/opportunities/5119
Gorman Park Volunteers,2,0.0,39189,Gorman Park Volunteers,39189,,/opportunities/5268
Project Mentor Development Council Inc. ,8,0.0,47371,Project Mentor Development Council Inc. ,47371,Strengthening Communities,/opportunities/5528
ARTs East New York Inc.,60,0.0,37775,ARTs East New York Inc.,37775,Strengthening Communities,/opportunities/5097
Catchafire,15840,0.0,39853,Catchafire,39853,Strengthening Communities,/opportunities/5439
The Neighborhood Work Play Kids Theater,8,0.0,50876,The Neighborhood Work Play Kids Theater,50876,Education,/opportunities/5676
Rubin Museum Of Art,4,0.0,3104,Rubin Museum Of Art,3104,Strengthening Communities,/opportunities/5175
Bronx ESL Program,5,0.0,52027,Bronx ESL Program,52027,Helping Neighbors in Need,/opportunities/5726
"Cents Ability, Inc.",100,0.0,37154,"Cents Ability, Inc.",37154,,/opportunities/5091
"Going Coastal, Inc.",3,0.0,989,"Going Coastal, Inc.",989,Strengthening Communities,/opportunities/5254
"""I Have a Dream"" Foundation - NY: Ravenswood Program",10,0.0,744,"""I Have a Dream"" Foundation - NY: Ravenswood Program",744,Education,/opportunities/4997
Jewish Association for Services for the Aged (JASA),240,0.0,728,Jewish Association for Services for the Aged (JASA),728,Health,/opportunities/5561
"Services for the UnderServed, Inc.",18,0.0,38951,"Services for the UnderServed, Inc.",38951,Helping Neighbors in Need,/opportunities/5266
Stuyvesant Cove Park,20,0.0,38302,Stuyvesant Cove Park,38302,,/opportunities/5767
Turtle Bay Music School,2,0.0,33503,Turtle Bay Music School,33503,Helping Neighbors in Need,/opportunities/5251
The Neighborhood Work Play Kids Theater,4,0.0,50876,The Neighborhood Work Play Kids Theater,50876,Strengthening Communities,/opportunities/5680
Street Project,300,0.0,3001,Street Project,3001,Strengthening Communities,/opportunities/5107
Catchafire,15840,0.0,39853,Catchafire,39853,Strengthening Communities,/opportunities/5432
  Brooklyn Center for Quality Life (BCQL),5,0.0,39767,  Brooklyn Center for Quality Life (BCQL),39767,Strengthening Communities,/opportunities/5340
The Grace Children's Foundation,100,0.0,45368,The Grace Children's Foundation,45368,,/opportunities/5515
Street Project,450,0.0,3001,Street Project,3001,Strengthening Communities,/opportunities/5627
Friends of Van Cortlandt Park,240,0.0,161,Friends of Van Cortlandt Park,161,Strengthening Communities,/opportunities/4999
Friends of Van Cortlandt Park,1200,0.0,161,Friends of Van Cortlandt Park,161,Strengthening Communities,/opportunities/5709
Chhaya Community Development Corporation,6,0.0,3369,Chhaya Community Development Corporation,3369,Environment,/opportunities/5261
