school_name,total_attendance_rate,code1,school_name,code1,fax_number,fax_number
Transit Tech Career and Technical Education High School,0.84,K69B,Transit Tech Career and Technical Education High School,K69B,718-647-4458,718-647-4458
Cambria Heights Academy,0.86,Q44A,Cambria Heights Academy,Q44A,718-736-7325,718-736-7325
High School of Economics and Finance,0.88,M79A,High School of Economics and Finance,M79A,212-346-0712,212-346-0712
Robert F. Kennedy Community High School,0.9,Q70A,Robert F. Kennedy Community High School,Q70A,718-969-5524,718-969-5524
FDNY-Captain Vernon A. Richard High School for Fire and Life Safety,0.8,K62X,FDNY-Captain Vernon A. Richard High School for Fire and Life Safety,K62X,718-922-0593,718-922-0593
The Urban Assembly School for Green Careers,0.84,A13A,The Urban Assembly School for Green Careers,A13A,212-787-1455,212-787-1455
Brooklyn Preparatory High School,0.86,K07X,Brooklyn Preparatory High School,K07X,718-486-2505,718-486-2505
High School for Law Enforcement and Public Safety,0.89,Q21A,High School for Law Enforcement and Public Safety,Q21A,718-977-4802,718-977-4802
Gotham Professional Arts Academy,0.78,L35A,Gotham Professional Arts Academy,L35A,718-574-3971,718-574-3971
High School for Excellence and Innovation,0.68,A24A,High School for Excellence and Innovation,A24A,212-569-1190,212-569-1190
Longwood Preparatory Academy,0.8,X94A,Longwood Preparatory Academy,X94A,718-860-1934,718-860-1934
"Metropolitan Soundview High School, The",0.79,Y55A,"Metropolitan Soundview High School, The",Y55A,718-860-8232,718-860-8232
"Brooklyn Latin School, The",4.779999999999999,NO CODE,"Brooklyn Latin School, The",NO CODE,718-381-3012,718-381-3012
George Westinghouse Career and Technical Education High School,0.88,K70C,George Westinghouse Career and Technical Education High School,K70C,718-596-9434,718-596-9434
Talent Unlimited High School,0.93,M42J,Talent Unlimited High School,M42J,212-737-2863,212-737-2863
Queens Metropolitan High School,0.92,Q39Z,Queens Metropolitan High School,Q39Z,718-286-3601,718-286-3601
Brooklyn Studio Secondary School,0.87,K90H,Brooklyn Studio Secondary School,K90H,718-266-5093,718-266-5093
Energy Tech High School,0.94,Q61A,Energy Tech High School,Q61A,718-472-0490,718-472-0490
Hillside Arts & Letters Academy,0.85,Q46A,Hillside Arts & Letters Academy,Q46A,718-658-1613,718-658-1613
Frederick Douglass Academy VII High School,0.82,K80X,Frederick Douglass Academy VII High School,K80X,718-922-2761,718-922-2761
Hudson High School of Learning Technologies,0.79,A18A,Hudson High School of Learning Technologies,A18A,212-488-3335,212-488-3335
