bin,latitude,longitude,t4_latitude,t4_longitude,t4_bin,category,count,avg_value,total_value,max_value
4065248.0,40.730248,-73.872786,40.730248,-73.872786,4065248.0,medium income_per_sqft,1,14.0,14.0,14.0
4193459.0,40.702487,-73.831983,40.702487,-73.831983,4193459.0,medium income_per_sqft,1,11.0,11.0,11.0
4078759.0,40.718031,-73.839978,40.718031,-73.839978,4078759.0,medium income_per_sqft,1,14.1,14.1,14.1
4453850.0,40.712633,-73.818554,40.712633,-73.818554,4453850.0,medium income_per_sqft,1,13.7,13.7,13.7
4000969.0,40.74446,-73.91447,40.74446,-73.91447,4000969.0,medium income_per_sqft,1,16.0,16.0,16.0
4051462.0,40.73038,-73.850452,40.73038,-73.850452,4051462.0,medium income_per_sqft,1,16.2,16.2,16.2
4104354.0,40.791543,-73.795818,40.791543,-73.795818,4104354.0,medium income_per_sqft,1,11.5,11.5,11.5
4304908.0,40.577032,-73.840589,40.577032,-73.840589,4304908.0,medium income_per_sqft,1,14.04,14.04,14.04
4119923.0,40.762772,-73.794235,40.762772,-73.794235,4119923.0,medium income_per_sqft,1,13.08,13.08,13.08
4431565.0,40.758151,-73.856746,40.758151,-73.856746,4431565.0,medium income_per_sqft,1,13.3,13.3,13.3
4315314.0,40.758562,-73.728177,40.758562,-73.728177,4315314.0,medium income_per_sqft,1,12.0,12.0,12.0
4007112.0,40.76506,-73.926801,40.76506,-73.926801,4007112.0,medium income_per_sqft,1,12.64,12.64,12.64
4052582.0,40.720444,-73.840149,40.720444,-73.840149,4052582.0,medium income_per_sqft,1,14.5,14.5,14.5
4454685.0,40.742933,-73.701626,40.742933,-73.701626,4454685.0,medium income_per_sqft,1,12.0,12.0,12.0
4052427.0,40.721494,-73.841131,40.721494,-73.841131,4052427.0,medium income_per_sqft,1,15.25,15.25,15.25
4455192.0,40.785264,-73.781635,40.785264,-73.781635,4455192.0,medium income_per_sqft,1,14.52,14.52,14.52
4065242.0,40.730816,-73.873283,40.730816,-73.873283,4065242.0,medium income_per_sqft,1,14.0,14.0,14.0
4210164.0,40.710405,-73.791399,40.710405,-73.791399,4210164.0,medium income_per_sqft,1,11.8,11.8,11.8
4431751.0,40.737783,-73.859463,40.737783,-73.859463,4431751.0,medium income_per_sqft,1,12.75,12.75,12.75
4116426.0,40.750951,-73.82282,40.750951,-73.82282,4116426.0,medium income_per_sqft,1,12.85,12.85,12.85
4115401.0,40.753627,-73.829534,40.753627,-73.829534,4115401.0,medium income_per_sqft,1,12.4,12.4,12.4
4035712.0,40.752597,-73.877042,40.752597,-73.877042,4035712.0,medium income_per_sqft,1,11.0,11.0,11.0
4074614.0,40.723369,-73.857961,40.723369,-73.857961,4074614.0,medium income_per_sqft,1,15.4,15.4,15.4
4113841.0,40.761859,-73.82117,40.761859,-73.82117,4113841.0,medium income_per_sqft,1,13.5,13.5,13.5
4113180.0,40.764407,-73.825557,40.764407,-73.825557,4113180.0,medium income_per_sqft,1,11.1,11.1,11.1
4434846.0,40.668486,-73.846906,40.668486,-73.846906,4434846.0,medium income_per_sqft,1,11.82,11.82,11.82
4443729.0,40.780729,-73.781498,40.780729,-73.781498,4443729.0,medium income_per_sqft,1,14.57,14.57,14.57
4002131.0,40.739729,-73.92301,40.739729,-73.92301,4002131.0,medium income_per_sqft,1,15.0,15.0,15.0
4435022.0,40.665862,-73.846602,40.665862,-73.846602,4435022.0,low income_per_sqft,1,7.7,7.7,7.7
4052786.0,40.717459,-73.833648,40.717459,-73.833648,4052786.0,medium income_per_sqft,1,13.0,13.0,13.0
4170057.0,40.765057,-73.745255,40.765057,-73.745255,4170057.0,medium income_per_sqft,1,11.75,11.75,11.75
4064929.0,40.735814,-73.880259,40.735814,-73.880259,4064929.0,medium income_per_sqft,1,12.6,12.6,12.6
