filing_type,current_status,sequence_no,failure_to_file_amt,total,average,count
Auto-Generated,SWARMP,1.0,5000.0,54750.0,13687.5,4
Auto-Generated,SAFE,,7000.0,27000.0,27000.0,1
Auto-Generated,SAFE,1.0,25000.0,62500.0,62500.0,1
Auto-Generated,SWARMP,1.0,11000.0,28000.0,28000.0,1
Amended,UNSAFE,1.0,5000.0,26000.0,26000.0,1
Auto-Generated,UNSAFE,9.0,0.0,0.0,0.0,1
Auto-Generated,SWARMP,,10000.0,24000.0,24000.0,1
Auto-Generated,UNSAFE,3.0,0.0,0.0,0.0,2
Auto-Generated,SAFE,1.0,1000.0,47750.0,9550.0,5
Auto-Generated,SAFE,6.0,0.0,3000.0,3000.0,1
Auto-Generated,SAFE,1.0,7000.0,6250.0,6250.0,1
Auto-Generated,No Report Filed,,0.0,0.0,0.0,1
Auto-Generated,No Report Filed,1.0,112000.0,112000.0,112000.0,1
Amended,UNSAFE,1.0,0.0,0.0,0.0,1
Initial,SAFE,1.0,10000.0,39950.0,39950.0,1
Auto-Generated,SWARMP,1.0,15000.0,45000.0,45000.0,1
Auto-Generated,SWARMP,1.0,0.0,19500.0,9750.0,2
Auto-Generated,SAFE,,10000.0,3000.0,3000.0,1
Amended,SAFE,1.0,0.0,0.0,0.0,1
Auto-Generated,SAFE,4.0,0.0,0.0,0.0,1
Auto-Generated,UNSAFE,1.0,3000.0,12000.0,12000.0,1
Auto-Generated,SWARMP,4.0,0.0,0.0,0.0,1
Auto-Generated,SAFE,,0.0,21000.0,21000.0,1
Auto-Generated,UNSAFE,1.0,1000.0,8000.0,8000.0,1
Auto-Generated,UNSAFE,1.0,5000.0,47600.0,23800.0,2
Auto-Generated,SAFE,3.0,5000.0,18000.0,18000.0,1
Auto-Generated,SWARMP,1.0,39000.0,95400.0,47700.0,2
Auto-Generated,SWARMP,3.0,5000.0,5000.0,5000.0,1
Auto-Generated,SAFE,1.0,5000.0,130000.0,32500.0,4
Initial,SWARMP,1.0,0.0,0.0,0.0,1
Auto-Generated,UNSAFE,1.0,0.0,4000.0,4000.0,1
Auto-Generated,SAFE,1.0,0.0,57650.0,7206.25,8
Auto-Generated,SAFE,1.0,15000.0,50000.0,50000.0,1
Auto-Generated,UNSAFE,4.0,0.0,0.0,0.0,1
Auto-Generated,SWARMP,1.0,1000.0,11250.0,11250.0,1
Auto-Generated,SWARMP,1.0,7000.0,33350.0,33350.0,1
Auto-Generated,SAFE,1.0,6000.0,20750.0,20750.0,1
Auto-Generated,SWARMP,1.0,12000.0,61250.0,30625.0,2
Initial,SAFE,1.0,0.0,7500.0,3750.0,2
Auto-Generated,SAFE,2.0,0.0,0.0,0.0,1
