intersection_street_2,complaint_type,location_type,descriptor,total,count,average
169 STREET,Illegal Parking,Street/Sidewalk,Parking Permit Improper Use,2744720880,2640,1039667.0
VERNON BOULEVARD,Illegal Parking,Street/Sidewalk,Parking Permit Improper Use,1913134080,1920,996424.0
72 AVENUE,Illegal Parking,Street/Sidewalk,Parking Permit Improper Use,653094540,630,1036658.0
MANHATTAN AVENUE,Illegal Parking,Street/Sidewalk,Parking Permit Improper Use,398912800,400,997282.0
WILLIAMS AVENUE,Illegal Parking,Street/Sidewalk,Parking Permit Improper Use,24284280,24,1011845.0
