title,total_date_created
Pete McArdle,1986
Clinton War Memorial,1927
Blockhouse,1905
Knights of Pythias Memorial,9805
Diagonal Sonata,38133
Tomorrow's Wind,37810
Alamo,1967
Little Dances,37924
A Bird Named Goldilocks,1995
Job,1967
The Isaiah Wall,1948
Wave Hill Landmarks Plaque,1963
City Employees War Memorial,9630
Joseph H. Lyons Plaque,1938
Boar,1972
Theodore Roosevelt Tablet,1919
Rockaway Veterans Memorial,1927
Greenpoint World War II Memorial,1954
Dancing Bear,58110
Gill and Bloom Plaques,
Samuel J. Tilden,1926
Mathematical Star,38247
General Josiah Porter,1902
Wild Geese,174240
Timecast,38228
Design Team Project,37886
The Army: Genius of Patriotism Urging American Soldiers On To Victory,11400
Lower East Side War Memorial,1953
Discus Thrower,1926
Carroll Park Memorial,1920
Netherland Monument,1926
Eagles and Prey,9250
Balto,1925
McNally Plaza Memorial,1921
Father Capodanno Memorial,1976
Athena,1998
Carmine Liotti and Lloyd Ikefugi,1962
Inside Out,38266
