property_id,property_name,address_1,national_median_source_energy,source_energy_use_adjusted,source_eui_adjusted_to_current
5934926,1112-1114 Gerard Ave,1112-1114 Gerard Ave,6540485.2,7634082,138.8
6147837,166 Montague St - 30023,166 Montague Street,7292020.7,Not Available,Not Available
2546474,The Nightingale Bamford School,20 East 92 Street,19321416.6,20772735.6,161.2
5871315,1250 67th Street and 1270 67th Street Norwegian Christian Home,"1250, 1270 67th Street",3734014.8,Not Available,Not Available
3226946,Simone: 1200 Waters Place,1200 Waters Place,111631907.9,245039145.3,875.1
4473965,MORRIS I/MORRIS II/MORRISANIA CAMPUS,1385 WASHINGTON AVENUE,323531693.2,398833445,188.6
4473965,MORRIS I/MORRIS II/MORRISANIA CAMPUS,1385 WASHINGTON AVENUE,323531693.2,398833445,107.2
4919368,1420 Gateway,1420 Gatewy Boulevard,8412286.5,3582336.7,50.4
5990147,1148 Metropolitan Avenue,1148 Metropolitan Avenue,8285926.2,7374881.9,70.6
6075349,Sun Sun Group : 467 Keap Street,467 Keap Street,8520912.5,4208269.4,52
2788854,441 Ocean Avenue Associates,441 Ocean Avenue,13759802.1,15467481.9,134.1
2831137,OCEAN HILL-BROWNSVILLE,2041 PACIFIC STREET,15740385.8,22001318.3,173.1
5987001,210 East 58th Street,210 East 58th Street,12812338.7,16117068.5,178.2
2686404,Treeline West LLC 177 Livingston St,177 Livingston Street,22821846.1,19262914.6,216.4
5984812,Metropolitan Homes: 2100 Bedford,2100 Bedford Ave,10375845.4,1951775.3,22.4
6022240,Brooklyn Tennis & Sports Club,2781 Shell Road,10452231.1,Not Available,Not Available
3531878,Simone: 1250 Waters Place,1250 Waters Place,180959150.5,237055306.3,423.3
4473906,DOUGLASS I/DOUGLASS II CAMPUS,825 COLUMBUS AVENUE,319190684.8,345128870.7,155.3
4473906,DOUGLASS I/DOUGLASS II CAMPUS,825 COLUMBUS AVENUE,319190684.8,345128870.7,91.2
4940492,ZARA - 148-15 Lowe Court,148-15 Lowe Court,6358506,7820848.5,152.5
5985498,KWM099116 99-11 60th Ave,99-11 60th Ave,22639189.1,15111022,86.5
2815138,The General Society Building,20 West 44th Street,11450072.7,1558086.8,23.2
2640766,37-60 88th Street,37-60 88th Street,16878759.8,18711291.9,170.1
4836183,Gilman: 461 AUDUBON AVE,"461 AUDUBON AVENUE,",8250091,9586291.2,164.9
4910138,Domen Holding Co,301 East 73rd Street,7630121.5,5479538.3,104.3
5936256,45-40 Vernon Boulevard,45-40 Vernon Boulevard,5213048,Not Available,Not Available
6011145,148 Madison Avenue,148 Madison Avenue,19293028.3,10537132.4,118.4
6038982,Prime Property Management of NY LLC  88-34 161 Street,88-34 161 Street,9309695.4,7415907.7,89.2
6128948,Howard,99-32 66 Road,36229327.2,5378896.8,17.9
6202292,STB044003 St Barnabas Parking 4400 3rd Ave,4400 3rd Ave,Not Available,Not Available,Not Available
2684923,Clipper - 1350 - 1372 New York Ave,1350 - 1372 New York Avenue,58661156.2,57912715.6,140.5
5934876,"DECATUR ENTERPRISE, LLC",3366 Decatur Ave.,7154013.8,3015391.1,49.6
6075346,Taube Management Realty : 125 Oceana Drive East,125 Oceana Drive East,19059666.6,17094410.1,99.4
5980333,1500 Hoe Avenue,1500 Hoe Avenue,11623202.4,10374383.6,124.4
2831082,JOHNSON/JEFFERSON,1581 PARK AVENUE,420479365.8,237234154.7,86
2831082,JOHNSON/JEFFERSON,1581 PARK AVENUE,420479365.8,237234154.7,199.3
3239928,Alwayne Construction Corp,37 Otsego Street,7473446.9,Not Available,Not Available
4369079,ABC REALTY 321 EAST 45TH ST,321 EAST 45TH ST,9826621,10705775.2,169.9
5077287,New York Presbyterian Brooklyn Methodist Hospital,506 6th Street,450052164.3,364737171.1,444
5077287,New York Presbyterian Brooklyn Methodist Hospital,506 6th Street,450052164.3,364737171.1,328.1
5951022,"Gadol 45 Owner, LLC",123 W 37th Street,62760579.1,Not Available,Not Available
6212628,240 Kent  Avenue,240 Kent  Avenue,11349015.2,6054910.1,106.4
5990152,501 10 Avenue,501 10th Avenue,23627900.5,32696199.1,124.3
6075359,Sun Sun Group : 1635 Lexington Ave,1635 Lexington Ave,7172147.7,9824146,177.3
4917102,GP Associates,1470 First Avenue,9745488.8,5775353.5,72.7
5934499,1625-1631 Fulton Avenue,1625-1631 Fulton Avenue,10420524.7,3717856.4,42.5
4339617,Towne Partners LLC,423 E 138th St.,8125988.4,Not Available,Not Available
3128121,MORRIS I/MORRIS II/MORRISANIA,1385 WASHINGTON AVENUE,219911818.6,226827776.7,188.6
3128121,MORRIS I/MORRIS II/MORRISANIA,1385 WASHINGTON AVENUE,219911818.6,226827776.7,107.2
4399380,Residence Inn by Marriott,144 E 48th Street,21677287.5,24072350.6,250.8
4474028,SHEEPSHEAD BAY/NOSTRAND CAMPUS,2985 AVENUE X,305022055.9,446210385.7,212.1
2640846,Kings Realty,861 East 27 Street,8226104.4,6275315.1,88.9
4473955,LOW HOUSES/GLENMORE PLAZA CAMPUS,180 POWELL STREET,139083397.2,196961158.1,198.7
4530840,KJ,125 E. 85th St.,10071930.5,27644943.8,502.8
5932277,385 3rd Avenue,385 3rd Avenue,6763706.3,5917563.6,93.5
