zoning_distr_1,sign_advertising,job_status,total,count,average
M1-1        ,BUSINESS,R,384.0,4,384.0
C6-4        ,BUSINESS,P,248.0,2,248.0
C6-4        ,BUSINESS,D,200.0,1,200.0
C6-5        ,BUSINESS,D,116.0,4,116.0
C4-1        ,BUSINESS,P,110.0,1,110.0
C4-2        ,BUSINESS,R,90.5,2,90.5
C8-2        ,BUSINESS,P,86.0,1,86.0
C5-3        ,BUSINESS,R,85.0,3,85.0
C4-7        ,BUSINESS,P,59.0,1,59.0
C6-2A       ,BUSINESS,D,53.0,1,53.0
R3-1        ,BUSINESS,R,50.0,2,50.0
C8-1        ,BUSINESS,D,49.0,1,49.0
C6-7        ,BUSINESS,J,47.0,6,47.0
R6B         ,BUSINESS,R,45.0,1,45.0
R3-2        ,BUSINESS,R,45.0,2,45.0
R5D         ,BUSINESS,R,43.0,1,43.0
C6-4X       ,BUSINESS,R,41.0,9,41.0
C4-6A       ,BUSINESS,R,38.0,5,38.0
R6B         ,BUSINESS,P,33.0,1,33.0
C8-2        ,BUSINESS,R,32.0,5,32.0
C5-3        ,BUSINESS,P,32.0,6,32.0
R2A         ,BUSINESS,J,29.0,2,29.0
M2-3        ,BUSINESS,R,29.0,1,29.0
C4-5X       ,BUSINESS,R,28.0,14,28.0
C6-5.5      ,BUSINESS,R,26.0,2,26.0
R4          ,BUSINESS,D,24.0,28,24.0
R6A         ,BUSINESS,R,23.75,4,23.75
R6          ,BUSINESS,R,20.857142857142858,14,20.857142857142858
C4-7        ,BUSINESS,R,19.70967741935484,93,19.70967741935484
R7A         ,BUSINESS,P,19.0,1,19.0
C8-1        ,BUSINESS,R,18.77777777777778,9,18.77777777777778
R3X         ,BUSINESS,R,18.0,6,18.0
C6-4        ,BUSINESS,R,17.0,1,17.0
R5          ,ADVERTISING,H,16.0,1,16.0
M1-5A       ,BUSINESS,R,15.0,2,15.0
C6-3        ,BUSINESS,D,14.0,1,14.0
C6-3        ,BUSINESS,R,14.0,1,14.0
C6-2        ,BUSINESS,D,12.0,2,12.0
M1-6        ,BUSINESS,R,11.0,1,11.0
R6          ,BUSINESS,D,10.0,42,10.0
R5B         ,BUSINESS,D,10.0,42,10.0
R2A         ,BUSINESS,D,7.0,28,7.0
R4          ,BUSINESS,R,5.0,1,5.0
