funding_category,interim_spending_deadline,date_funds_announced_by_nyc,project_name,contract_name,date_funds_awarded_by_fed_state,displaced_city_funding
Education,,2009-07-01 00:00:00,Education Services for Special Needs Students - Pre-School,EMPLOYMENT AGENCY PROFESSIONAL SERVICES,2009-04-01 00:00:00,0.0
Neighborhood Stabilization,,2009-05-01 00:00:00,Emergency Repair Program: Repairs,ERP: Repairs,2009-08-10 00:00:00,0.0
Education,,2009-07-01 00:00:00,Teacher Center,INTERACTIVE WHITE BOARDS,2009-06-19 00:00:00,0.0
Education,,2009-07-01 00:00:00,Teacher Center,INTERACTIVE WHITE BOARDS,2009-06-19 00:00:00,0.0
Education,,2009-07-01 00:00:00,Education Services for Special Needs Students,INSTRUCTIONAL LEARNING MATERIALS,2009-04-01 00:00:00,0.0
Education,,2009-07-01 00:00:00,Education Services for Special Needs Students,TEXTBOOK,2009-04-01 00:00:00,0.0
Education,,2009-07-01 00:00:00,Education Services for Special Needs Students,TEACH.TXBKS,2009-04-01 00:00:00,0.0
Education,,2009-07-01 00:00:00,Education Services for Economically Disadvantaged Students,NCLB,2009-04-01 00:00:00,0.0
Education,,2009-07-01 00:00:00,Education Services for Economically Disadvantaged Students,PD IN SPECIAL ED AREAS,2009-04-01 00:00:00,0.0
Education,,2009-07-01 00:00:00,Education Services for Economically Disadvantaged Students,ARTS EDUCATION SERVICES,2009-04-01 00:00:00,0.0
Infrastructure,2011-03-17 00:00:00,2009-04-26 00:00:00,Leavitt Houses - Roofing Replacement,Leavitt Houses - Roofing Replacement,2009-03-18 00:00:00,0.0
Economic and Workforce Development,2010-06-30 00:00:00,2009-02-17 00:00:00,Beacon Community Centers,"SCO Family of Services, 9975",2009-04-01 00:00:00,0.0
Infrastructure,2011-03-17 00:00:00,2009-04-26 00:00:00,Expansion of Elevator Remote Monitoring System at Various Locations,Expansion of Elevator Remote Monitoring System at Various Locations,2009-03-18 00:00:00,0.0
Economic and Workforce Development,2010-06-30 00:00:00,2009-02-17 00:00:00,Summer Youth Employment Program (SYEP),"Woodycrest Center For Human Development, 90827",2009-03-23 00:00:00,0.0
Economic and Workforce Development,2010-06-30 00:00:00,2009-02-17 00:00:00,Summer Youth Employment Program (SYEP),"SCO Family of Services, 90815",2009-03-23 00:00:00,0.0
Economic and Workforce Development,2010-06-30 00:00:00,2009-02-17 00:00:00,Summer Youth Employment Program (SYEP),"St. Nicholas Neighborhood Preservation Corporation, 90821",2009-03-23 00:00:00,0.0
Health and Social Support,2010-09-30 00:00:00,2009-10-30 00:00:00,Adult Literacy Employment Program,"Union Settlement Association, 766483",2009-04-01 00:00:00,0.0
Infrastructure,2011-03-17 00:00:00,2009-04-26 00:00:00,Energy Efficient Refrigerator Replacement at various locations,Energy Efficient Refrigerators (1),2009-03-18 00:00:00,0.0
Infrastructure,2011-03-17 00:00:00,2009-04-26 00:00:00,Energy Efficient Refrigerator Replacement at various locations,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,0.0
Infrastructure,2011-03-17 00:00:00,2009-04-26 00:00:00,Energy Efficient Refrigerator Replacement at various locations,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,0.0
Economic and Workforce Development,2010-06-30 00:00:00,2009-02-17 00:00:00,"Go to School, Get a Job","Mosholu Montefiore Community Center, Inc., 90269A",2009-03-23 00:00:00,0.0
Health and Social Support,,2009-09-03 00:00:00,Congregate Meals for the Elderly,Congregate Meals for the Elderly at Senior Centers,2009-06-10 00:00:00,0.0
Health and Social Support,,2009-09-03 00:00:00,Congregate Meals for the Elderly,Congregate Meals for the Elderly at Senior Centers,2009-06-10 00:00:00,0.0
Health and Social Support,,2009-09-03 00:00:00,Congregate Meals for the Elderly,Congregate Meals for the Elderly at Senior Centers,2009-06-10 00:00:00,0.0
