nta2020,total_units_planned
BK0301,
BK1202,
BK0401,
QN0702,2.0
BK0502,
BK0101,
MN1102,
QN1202,2.0
BK0104,
MN1201,
SI0201,2.0
MN1203,224.0
BK1701,
QN1304,
BK1802,
QN1102,2.0
BX0202,
QN0203,3.0
BK0102,
BK0503,
BX0602,3.0
BK1702,
MN1002,
BK0602,1.0
BX0402,
BK0402,
BX1203,
MN0203,1.0
MN0501,
QN1403,
MN0602,
BK1502,
BX0301,
BK1803,
QN0301,
QN1402,2.0
MN1001,
SI0105,
BK0201,
BK1002,
BK0601,
MN0303,28.0
MN0604,
