job__,total_floor_area
321051721,0
240308403,0
420994393,0
321740167,0
240278150,0
110458843,0
320836690,0
340820437,0
440686385,0
301864631,6515
301810413,0
123480072,0
301776086,0
301782514,0
500730480,0
340744350,0
301807310,0
520451494,0
301876334,0
301833853,0
102626669,0
301798650,0
301860369,3604
110199419,0
440697079,0
301777432,0
121789323,0
540197883,0
301781588,0
301782033,0
301854660,4738
301816630,4930
340778297,0
301794146,0
240304247,0
301857355,0
140922893,0
500631710,2230
421737044,0
103646333,0
440673923,0
340841254,0
421382827,0
301852181,0
340811170,0
301864338,0
321969633,0
121189178,0
301774202,2082
122984841,0
