violation_code,issuer_command,violation_description,issuer_squad,violation_precinct,issuing_agency,category,count,avg_value,total_value,max_value
46,0066,,0.0,66,P,unknown,1,0.0,0,0
14,0003,,0.0,100,K,unknown,1,0.0,0,0
46,0073,,0.0,73,M,unknown,1,0.0,0,0
46,0034,,0.0,34,P,unknown,1,0.0,0,0
20,0163,,0.0,44,P,unknown,2,0.0,0,0
98,0111,,0.0,111,P,unknown,1,0.0,0,0
98,0072,,0.0,72,P,unknown,2,0.0,0,0
14,0019,,0.0,19,P,unknown,1,0.0,0,0
67,CCPD,,0.0,45,C,unknown,1,0.0,0,0
24,0976,,0.0,114,Y,recent,3,20220608.0,60661824,20220608
14,0001,,0.0,34,K,unknown,2,0.0,0,0
46,CCPD,,0.0,45,Y,unknown,1,0.0,0,0
63,0001,,0.0,1,N,unknown,1,0.0,0,0
24,0976,,0.0,114,P,unknown,6,0.0,0,0
98,0115,,0.0,115,P,unknown,1,0.0,0,0
98,0069,,0.0,69,P,unknown,1,0.0,0,0
71,BXTE,,0.0,40,T,unknown,1,0.0,0,0
14,CCPD,,0.0,45,C,unknown,1,0.0,0,0
19,0023,,0.0,23,K,unknown,1,0.0,0,0
40,0066,,0.0,66,P,unknown,1,0.0,0,0
46,0069,,0.0,69,P,unknown,1,0.0,0,0
37,0078,,0.0,78,P,unknown,1,0.0,0,0
40,CCPD,,0.0,45,C,unknown,1,0.0,0,0
98,0111,,0.0,111,U,unknown,1,0.0,0,0
46,0072,,0.0,72,P,unknown,2,0.0,0,0
40,0110,,0.0,110,P,unknown,1,0.0,0,0
14,0076,,0.0,76,P,unknown,1,0.0,0,0
17,0968,,0.0,14,M,unknown,1,0.0,0,0
46,0043,,0.0,43,P,unknown,1,0.0,0,0
21,NSTE,,0.0,5,T,unknown,1,0.0,0,0
20,BXTE,,0.0,49,P,unknown,1,0.0,0,0
98,0088,,0.0,88,P,unknown,1,0.0,0,0
14,CCPD,,0.0,45,P,unknown,2,0.0,0,0
17,0968,,0.0,14,P,unknown,1,0.0,0,0
63,0004,,0.0,78,K,unknown,1,0.0,0,0
19,0023,,0.0,23,P,unknown,1,0.0,0,0
46,CCPD,,0.0,45,C,unknown,1,0.0,0,0
71,BXTE,,0.0,46,P,unknown,1,0.0,0,0
46,0073,,0.0,73,P,unknown,1,0.0,0,0
20,0002,,0.0,44,N,unknown,1,0.0,0,0
51,0114,,0.0,110,P,unknown,1,0.0,0,0
67,0001,,0.0,10,P,unknown,2,0.0,0,0
20,0005,,0.0,122,K,unknown,1,0.0,0,0
20,0001,,0.0,6,K,unknown,1,0.0,0,0
20,0003,,0.0,110,K,unknown,1,0.0,0,0
63,0001,,0.0,1,4,unknown,1,0.0,0,0
40,0109,,0.0,109,P,unknown,1,0.0,0,0
40,0061,,0.0,61,P,unknown,1,0.0,0,0
19,0000,,0.0,109,R,unknown,1,0.0,0,0
98,0076,,0.0,76,P,unknown,1,0.0,0,0
20,0003,,0.0,110,T,unknown,1,0.0,0,0
14,0004,,0.0,84,K,unknown,1,0.0,0,0
14,0069,,0.0,69,P,unknown,1,0.0,0,0
24,0976,,0.0,114,Y,unknown,6,0.0,0,0
40,0114,,0.0,114,P,unknown,1,0.0,0,0
17,0072,,0.0,72,P,unknown,2,0.0,0,0
62,0SOD,,0.0,174,Q,unknown,1,0.0,0,0
19,0115,,0.0,115,P,unknown,1,0.0,0,0
