funding_category,project_name,total,average,count
Infrastructure,Expansion of Elevator Remote Monitoring System at Various Locations,0.0,0.0,1
Education,Teacher Center,0.0,0.0,2
Infrastructure,Energy Efficient Refrigerator Replacement at various locations,0.0,0.0,388
Health and Social Support,Adult Literacy Employment Program,0.0,0.0,1
Infrastructure,Leavitt Houses - Roofing Replacement,0.0,0.0,1
Economic and Workforce Development,Summer Youth Employment Program (SYEP),0.0,0.0,7
Education,Education Services for Special Needs Students,0.0,0.0,2197
Education,Education Services for Special Needs Students - Pre-School,0.0,0.0,1
Neighborhood Stabilization,Emergency Repair Program: Repairs,0.0,0.0,1
Economic and Workforce Development,Beacon Community Centers,0.0,0.0,1
Health and Social Support,Congregate Meals for the Elderly,0.0,0.0,3
Education,Education Services for Economically Disadvantaged Students,0.0,0.0,1541
Economic and Workforce Development,"Go to School, Get a Job",0.0,0.0,1
