latitude,total_assembly_district
40.736295,50.0
40.667178,60.0
40.713559,29.0
40.591141,63.0
40.714443,100.0
40.770271,40.0
40.672931,43.0
40.713407,29.0
40.715165,65.0
40.852108,78.0
40.856453,80.0
40.69164,38.0
40.878736,83.0
40.69108,54.0
40.677737,51.0
40.733935,66.0
40.763972,36.0
40.732531,66.0
40.851499,86.0
40.865275,80.0
40.693255,56.0
40.808541,84.0
40.648279,51.0
40.680114,56.0
40.637406,122.0
40.638725,41.0
40.863083,72.0
40.693131,38.0
40.625211,61.0
40.723492,50.0
40.718866,50.0
40.720773,50.0
40.53073,124.0
40.856464,80.0
40.59447,192.0
40.724709,66.0
40.695649,53.0
40.66659,29.0
40.727017,66.0
40.527919,62.0
40.784856,81.0
40.687331,57.0
