floor_name,item_detail,record_count,total_amount,avg_amount,max_amount,min_amount
,"'3x#6,3x#10,2x2x#10'",146,16770.0,114.86301369863014,2280.0,8.0
,'#3AWG',146,16770.0,114.86301369863014,2280.0,8.0
,'100 amp',146,16770.0,114.86301369863014,2280.0,8.0
,'3@10 1@8',146,16770.0,114.86301369863014,2280.0,8.0
,'3#2',146,16770.0,114.86301369863014,2280.0,8.0
,'8/16',146,16770.0,114.86301369863014,2280.0,8.0
,"'3x#6,3x3x#10'",146,16770.0,114.86301369863014,2280.0,8.0
,'',730,83850.0,114.86301369863014,2280.0,8.0
,'4/3 riser',146,16770.0,114.86301369863014,2280.0,8.0
,'30 amps for fire alarm',146,16770.0,114.86301369863014,2280.0,8.0
,'30 circuits',146,16770.0,114.86301369863014,2280.0,8.0
,"'1 #6 SER , 1 #6 FED'",146,16770.0,114.86301369863014,2280.0,8.0
,'1-100 amps',146,16770.0,114.86301369863014,2280.0,8.0
,'24 pole 125A',146,16770.0,114.86301369863014,2280.0,8.0
,"'36sets2/0, 3sets3/0, 4 sets4/0'",146,16770.0,114.86301369863014,2280.0,8.0
,'3 #2 awg',146,16770.0,114.86301369863014,2280.0,8.0
,'1 - 20 circ.',146,16770.0,114.86301369863014,2280.0,8.0
,'1 X 2400A',146,16770.0,114.86301369863014,2280.0,8.0
,"'2@20AMP, 1@15AMP'",146,16770.0,114.86301369863014,2280.0,8.0
,'4/000',146,16770.0,114.86301369863014,2280.0,8.0
,'St Johnson',146,16770.0,114.86301369863014,2280.0,8.0
,'3-#6 & 1-#8G',146,16770.0,114.86301369863014,2280.0,8.0
,'2@30A',146,16770.0,114.86301369863014,2280.0,8.0
,'42 circuit breaker panels',146,16770.0,114.86301369863014,2280.0,8.0
Floor Number(s),'',15,4160.0,277.3333333333333,935.5,7.0
,'1 SET OF 3/O',146,16770.0,114.86301369863014,2280.0,8.0
,'45 amps',146,16770.0,114.86301369863014,2280.0,8.0
,'24-circuit',146,16770.0,114.86301369863014,2280.0,8.0
,"'(1) 200A, (3) 100A'",146,16770.0,114.86301369863014,2280.0,8.0
,'60 CKT',146,16770.0,114.86301369863014,2280.0,8.0
