fact_column,total_non_criminal_incidents,geocode,geocode,latitude,longitude,latitude,longitude
2016 - 17,1,"{'latitude': '40.696766', 'longitude': '-73.786934', 'human_address': '{""address"": ""108 35 167 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.696766', 'longitude': '-73.786934', 'human_address': '{""address"": ""108 35 167 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.69719,-73.787192,40.69719,-73.787192
2016 - 17,1,"{'latitude': '41.615667', 'longitude': '-81.518679', 'human_address': '{""address"": ""120 45 235 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '41.615667', 'longitude': '-81.518679', 'human_address': '{""address"": ""120 45 235 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.685492,-73.729982,40.685492,-73.729982
2016 - 17,0,"{'latitude': '40.594236', 'longitude': '-73.936836', 'human_address': '{""address"": ""3000 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.594236', 'longitude': '-73.936836', 'human_address': '{""address"": ""3000 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.594124,-73.937696,40.594124,-73.937696
2016 - 17,1,"{'latitude': '40.859933', 'longitude': '-73.888168', 'human_address': '{""address"": ""500 EAST FORDHAM ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.859933', 'longitude': '-73.888168', 'human_address': '{""address"": ""500 EAST FORDHAM ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.860043,-73.888267,40.860043,-73.888267
2016 - 17,0,"{'latitude': '40.681954', 'longitude': '-73.93554', 'human_address': '{""address"": ""272 MACDONOUGH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.681954', 'longitude': '-73.93554', 'human_address': '{""address"": ""272 MACDONOUGH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.681896,-73.935963,40.681896,-73.935963
2016 - 17,1,"{'latitude': '33.978425', 'longitude': '-118.248968', 'human_address': '{""address"": ""1420 EAST 68 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '33.978425', 'longitude': '-118.248968', 'human_address': '{""address"": ""1420 EAST 68 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.621224,-73.91287,40.621224,-73.91287
2016 - 17,1,"{'latitude': '40.726673', 'longitude': '-73.953962', 'human_address': '{""address"": ""75 MESEROLE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.726673', 'longitude': '-73.953962', 'human_address': '{""address"": ""75 MESEROLE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.726587,-73.95427,40.726587,-73.95427
2016 - 17,1,"{'latitude': '40.647265', 'longitude': '-73.891987', 'human_address': '{""address"": ""965 EAST 107TH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.647265', 'longitude': '-73.891987', 'human_address': '{""address"": ""965 EAST 107TH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.647323,-73.892022,40.647323,-73.892022
2016 - 17,1,"{'latitude': '40.6761', 'longitude': '-73.935713', 'human_address': '{""address"": ""1580 DEAN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.6761', 'longitude': '-73.935713', 'human_address': '{""address"": ""1580 DEAN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.676094,-73.935688,40.676094,-73.935688
2016 - 17,1,"{'latitude': '40.642265', 'longitude': '-74.098153', 'human_address': '{""address"": ""71 77 CLINTON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.642265', 'longitude': '-74.098153', 'human_address': '{""address"": ""71 77 CLINTON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.695332,-73.969243,40.695332,-73.969243
2016 - 17,0,"{'latitude': '40.694892', 'longitude': '-73.985278', 'human_address': '{""address"": ""105 TECH PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.694892', 'longitude': '-73.985278', 'human_address': '{""address"": ""105 TECH PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.694926,-73.986015,40.694926,-73.986015
2016 - 17,1,"{'latitude': '41.692022', 'longitude': '-71.166289', 'human_address': '{""address"": ""213 OSBORN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '41.692022', 'longitude': '-71.166289', 'human_address': '{""address"": ""213 OSBORN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.667377,-73.908214,40.667377,-73.908214
2016 - 17,0,"{'latitude': '27.783609', 'longitude': '-80.501816', 'human_address': '{""address"": ""999 JAMAICA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '27.783609', 'longitude': '-80.501816', 'human_address': '{""address"": ""999 JAMAICA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.691146,-73.868328,40.691146,-73.868328
2016 - 17,0,"{'latitude': '41.993153', 'longitude': '-71.341312', 'human_address': '{""address"": ""244 WEST 144 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '41.993153', 'longitude': '-71.341312', 'human_address': '{""address"": ""244 WEST 144 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.821535,-73.940941,40.821535,-73.940941
2016 - 17,1,"{'latitude': '35.300163', 'longitude': '-77.77611', 'human_address': '{""address"": ""5909 BEVERLY ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '35.300163', 'longitude': '-77.77611', 'human_address': '{""address"": ""5909 BEVERLY ROAD"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.646877,-73.920977,40.646877,-73.920977
2016 - 17,0,"{'latitude': '40.815876', 'longitude': '-73.952864', 'human_address': '{""address"": ""71 111 CONVENT AVE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.815876', 'longitude': '-73.952864', 'human_address': '{""address"": ""71 111 CONVENT AVE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.815458,-73.952908,40.815458,-73.952908
2016 - 17,0,"{'latitude': '42.015123', 'longitude': '-71.391496', 'human_address': '{""address"": ""185 ELLERY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '42.015123', 'longitude': '-71.391496', 'human_address': '{""address"": ""185 ELLERY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.698869,-73.945042,40.698869,-73.945042
2016 - 17,2,"{'latitude': '40.704801', 'longitude': '-73.939232', 'human_address': '{""address"": ""325 BUSHWICK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.704801', 'longitude': '-73.939232', 'human_address': '{""address"": ""325 BUSHWICK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.705204,-73.939407,40.705204,-73.939407
2016 - 17,0,"{'latitude': '41.735727', 'longitude': '-92.717697', 'human_address': '{""address"": ""333 EAST 151 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '41.735727', 'longitude': '-92.717697', 'human_address': '{""address"": ""333 EAST 151 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.818232,-73.919867,40.818232,-73.919867
2016 - 17,1,"{'latitude': '31.852838', 'longitude': '-82.607579', 'human_address': '{""address"": ""71 HESTER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '31.852838', 'longitude': '-82.607579', 'human_address': '{""address"": ""71 HESTER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.715905,-73.990895,40.715905,-73.990895
2016 - 17,1,"{'latitude': '40.631473', 'longitude': '-74.143984', 'human_address': '{""address"": ""168 HOOKER PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.631473', 'longitude': '-74.143984', 'human_address': '{""address"": ""168 HOOKER PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.631523,-74.144297,40.631523,-74.144297
2016 - 17,3,"{'latitude': '40.70649', 'longitude': '-74.017796', 'human_address': '{""address"": ""55 BATTERY PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.70649', 'longitude': '-74.017796', 'human_address': '{""address"": ""55 BATTERY PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.70644,-74.017818,40.70644,-74.017818
2016 - 17,1,"{'latitude': '46.62292', 'longitude': '-94.212971', 'human_address': '{""address"": ""9115 5 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '46.62292', 'longitude': '-94.212971', 'human_address': '{""address"": ""9115 5 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.618415,-74.028842,40.618415,-74.028842
2016 - 17,0,"{'latitude': '34.8215', 'longitude': '-118.268509', 'human_address': '{""address"": ""100 WEST 77 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '34.8215', 'longitude': '-118.268509', 'human_address': '{""address"": ""100 WEST 77 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.780822,-73.976855,40.780822,-73.976855
2016 - 17,1,"{'human_address': '{""address"": ""55 EAST 120 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'human_address': '{""address"": ""55 EAST 120 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.802419,-73.942634,40.802419,-73.942634
2016 - 17,1,"{'latitude': '40.687981', 'longitude': '-74.001276', 'human_address': '{""address"": ""111 COLUMBIA STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.687981', 'longitude': '-74.001276', 'human_address': '{""address"": ""111 COLUMBIA STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.718895,-73.979308,40.718895,-73.979308
2016 - 17,4,"{'latitude': '27.55681', 'longitude': '-82.566745', 'human_address': '{""address"": ""328 WEST 48 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '27.55681', 'longitude': '-82.566745', 'human_address': '{""address"": ""328 WEST 48 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.761448,-73.988019,40.761448,-73.988019
2016 - 17,0,"{'latitude': '40.877814', 'longitude': '-73.911868', 'human_address': '{""address"": ""2975 TIBBETT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.877814', 'longitude': '-73.911868', 'human_address': '{""address"": ""2975 TIBBETT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.879368,-73.909896,40.879368,-73.909896
2016 - 17,0,"{'latitude': '40.679415', 'longitude': '-73.931607', 'human_address': '{""address"": ""1700 FULTON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.679415', 'longitude': '-73.931607', 'human_address': '{""address"": ""1700 FULTON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.67944,-73.932407,40.67944,-73.932407
2016 - 17,1,"{'latitude': '40.685105', 'longitude': '-73.947157', 'human_address': '{""address"": ""832 MARCY AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.685105', 'longitude': '-73.947157', 'human_address': '{""address"": ""832 MARCY AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.685004,-73.947152,40.685004,-73.947152
2016 - 17,0,"{'latitude': '42.103577', 'longitude': '-86.44529', 'human_address': '{""address"": ""794 MONROE STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '42.103577', 'longitude': '-86.44529', 'human_address': '{""address"": ""794 MONROE STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.688419,-73.924833,40.688419,-73.924833
2016 - 17,1,"{'latitude': '44.150758', 'longitude': '-92.898543', 'human_address': '{""address"": ""131 IRWIN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '44.150758', 'longitude': '-92.898543', 'human_address': '{""address"": ""131 IRWIN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.579451,-73.943819,40.579451,-73.943819
2016 - 17,0,"{'latitude': '37.665046', 'longitude': '-120.962673', 'human_address': '{""address"": ""1980 LAFAYETTE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '37.665046', 'longitude': '-120.962673', 'human_address': '{""address"": ""1980 LAFAYETTE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.82229,-73.856167,40.82229,-73.856167
2016 - 17,2,"{'latitude': '39.798783', 'longitude': '-75.248275', 'human_address': '{""address"": ""430 HOWARD AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '39.798783', 'longitude': '-75.248275', 'human_address': '{""address"": ""430 HOWARD AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.673073,-73.919594,40.673073,-73.919594
2016 - 17,1,"{'latitude': '40.740874', 'longitude': '-73.853945', 'human_address': '{""address"": ""107 01 OTIS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.740874', 'longitude': '-73.853945', 'human_address': '{""address"": ""107 01 OTIS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.74056,-73.854131,40.74056,-73.854131
2016 - 17,1,"{'latitude': '40.660364', 'longitude': '-73.907393', 'human_address': '{""address"": ""411 THATFORD AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '40.660364', 'longitude': '-73.907393', 'human_address': '{""address"": ""411 THATFORD AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.660306,-73.907355,40.660306,-73.907355
2016 - 17,1,"{'latitude': '37.32742', 'longitude': '-80.815882', 'human_address': '{""address"": ""344 MONROE STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '37.32742', 'longitude': '-80.815882', 'human_address': '{""address"": ""344 MONROE STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.686076,-73.945229,40.686076,-73.945229
2016 - 17,0,"{'latitude': '29.999634', 'longitude': '-90.268991', 'human_address': '{""address"": ""223 EAST 23 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '29.999634', 'longitude': '-90.268991', 'human_address': '{""address"": ""223 EAST 23 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.738548,-73.982455,40.738548,-73.982455
2016 - 17,1,"{'latitude': '31.65974', 'longitude': '-97.474877', 'human_address': '{""address"": ""202 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}","{'latitude': '31.65974', 'longitude': '-97.474877', 'human_address': '{""address"": ""202 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",40.640463,-73.977642,40.640463,-73.977642
