trafdir,stname_label,borough_indicator,category,count,avg_value,total_value,max_value
TF,84 AVE,,medium,1,410.35945032,410.35945032,410.35945032
TF,2 AVE,,medium,1,260.40253807,260.40253807,260.40253807
TW,ARDEN AVE,,medium,1,258.90624242,258.90624242,258.90624242
TW,ERSKINE ST,,long,1,708.89171637,708.89171637,708.89171637
FT,CENTRAL AVE,,short,1,131.31108,131.31108,131.31108
FT,AVE N,,medium,1,269.29469156,269.29469156,269.29469156
TF,E 63 ST,,long,1,507.75481608,507.75481608,507.75481608
FT,GRAND CENTRAL PKWY,,medium,1,490.08673088,490.08673088,490.08673088
TW,KLONDIKE AVE,,medium,1,271.34839942,271.34839942,271.34839942
TF,MILFORD DR,,medium,1,248.67435892,248.67435892,248.67435892
TW,WATERBURY AVE,,medium,1,268.26531241,268.26531241,268.26531241
TW,ALLEY,,medium,2,387.36843175,774.7368635,387.36843175
TW,81 AVE,,medium,1,260.06494519,260.06494519,260.06494519
TW,ROSE M SINGER CENTER ACCESS RD,,short,1,34.42910001,34.42910001,34.42910001
TW,CHAPIN AVE,,medium,1,359.29545657,359.29545657,359.29545657
TW,AVE X,,medium,1,261.15299215,261.15299215,261.15299215
TF,WOODHAVEN BLVD,,medium,1,259.76170527,259.76170527,259.76170527
TF,TRINITY AVE,,medium,1,297.49178464,297.49178464,297.49178464
TF,ADAM CLAYTON POWELL JR BLVD,,short,1,24.58180323,24.58180323,24.58180323
TF,63 AVE,,medium,1,259.56623983,259.56623983,259.56623983
FT,90 ST,,short,1,143.60868412,143.60868412,143.60868412
TF,LINDEN BLVD,,short,1,65.89434388,65.89434388,65.89434388
TW,49 RD,,medium,1,295.49800879,295.49800879,295.49800879
FT,PARK PL,,long,1,779.86933228,779.86933228,779.86933228
TW,DOANE AVE,,long,1,790.467655,790.467655,790.467655
TW,KING ST,,medium,1,250.59612914,250.59612914,250.59612914
TF,PROSPECT PARK W,,short,1,83.57472558,83.57472558,83.57472558
FT,DELANCEY ST,,medium,1,237.85460084,237.85460084,237.85460084
TW,RADCLIFF AVE,,medium,1,355.43412199,355.43412199,355.43412199
TW,AVE U,,short,1,131.83249198,131.83249198,131.83249198
TW,CYPRESS AVE,,medium,1,260.83407477,260.83407477,260.83407477
TW,UTICA AVE,,medium,1,284.8654269,284.8654269,284.8654269
TW,LELAND AVE,,long,1,780.00809207,780.00809207,780.00809207
TW,LIVONIA AVE,,medium,1,264.86551599,264.86551599,264.86551599
TF,144 PL,,medium,1,462.36332543,462.36332543,462.36332543
FT,183 ST,,long,1,922.56649996,922.56649996,922.56649996
TF,DOGWOOD DR,,medium,1,259.83557303,259.83557303,259.83557303
TW,ROCKAWAY BLVD,,medium,1,218.26042447,218.26042447,218.26042447
TW,SUTTER AVE,,short,1,86.50823951,86.50823951,86.50823951
FT,SEIGEL ST,,short,1,76.74447958,76.74447958,76.74447958
FT,W 10 ST,,long,1,854.89983204,854.89983204,854.89983204
TW,BROADWAY,,short,1,96.06855655,96.06855655,96.06855655
