omppropid,subcategor,nys_assemb,total,count,average
Q096,EXWY,"23, 31",202.647,1,202.647
M042,Large Park,72,196.398,1,196.398
X142,Large Park,81,144.29,1,144.29
R088,Flagship Park,62,94.1,1,94.1
B371,REDEC,60,42.583,1,42.583
R132,Undeveloped,62,36.691,1,36.691
B058,Large Park,50,36.493,1,36.493
B431,Large Park,52,21.377,1,21.377
Q464,Large Park,31,19.556,1,19.556
B245,Large Park,56,9.339,1,9.339
B385,Neighborhood Park,50,6.611,1,6.611
M033,Neighborhood Plgd,74,4.3,1,4.3
B324,Neighborhood Plgd,59,2.984,1,2.984
Q340,Neighborhood Plgd,30,2.027,1,2.027
B111A,JOP,52,1.549,1,1.549
M059,Neighborhood Plgd,74,1.275,1,1.275
X141,JOP,83,1.23,1,1.23
Q066H,Sitting Area/Triangle/Mall,36,1.226,1,1.226
Q400,JOP,26,1.166,1,1.166
X154,Neighborhood Plgd,79,1.001,1,1.001
B367,Neighborhood Park,55,0.918,1,0.918
B261,Neighborhood Plgd,60,0.847,1,0.847
X148F4,Sitting Area/Triangle/Mall,86,0.759,1,0.759
B223R,Neighborhood Plgd,53,0.752,1,0.752
B246,JOP,60,0.694,1,0.694
Q100A,Sitting Area/Triangle/Mall,40,0.658,1,0.658
M069,Neighborhood Plgd,66,0.635,1,0.635
Q262,Sitting Area/Triangle/Mall,26,0.553,1,0.553
X299,Neighborhood Plgd,79,0.549,1,0.549
B297,JOP,44,0.538,1,0.538
X296,To Be Determined,84,0.494,1,0.494
B223IB,Sitting Area/Triangle/Mall,52,0.489,1,0.489
B533,Greenthumb,60,0.249,1,0.249
M103,,66,0.208,1,0.208
M323,Greenthumb,68,0.186,1,0.186
X064,Sitting Area/Triangle/Mall,85,0.17,1,0.17
M130,,73,0.17,1,0.17
M361,Greenthumb,74,0.15,1,0.15
X331,Greenthumb,77,0.15,1,0.15
M122,Neighborhood Plgd,65,0.135,1,0.135
X096,Sitting Area/Triangle/Mall,81,0.12,1,0.12
M212,Sitting Area/Triangle/Mall,65,0.117,1,0.117
M344,Greenthumb,68,0.11,1,0.11
Q512,,29,0.1,1,0.1
M406,,70,0.068,1,0.068
B443,Greenthumb,54,0.068,1,0.068
B582,,57,0.058,1,0.058
B223DB,Sitting Area/Triangle/Mall,52,0.026,1,0.026
B202,Sitting Area/Triangle/Mall,53,0.02,1,0.02
B278,Sitting Area/Triangle/Mall,54,0.011,1,0.011
