location_name,t3_location_name,digital_literacy,job_readiness_ex_resume_help,category,count,avg_value,total_value,max_value
Carver Neighborhood Older Adults Center,Carver Neighborhood Older Adults Center,Y,N,Medium WiFi Speed,1,96.0,96.0,96.0
Jacob A. Riis Neighborhood Settlement Community Center,Jacob A. Riis Neighborhood Settlement Community Center,Y,Y,Low WiFi Speed,1,0.0,0.0,0.0
Melrose Mott Haven Neighborhood Senior Center,Melrose Mott Haven Neighborhood Senior Center,Y,N,Medium WiFi Speed,1,84.7,84.7,84.7
Lenox Hill Neighborhood House,Lenox Hill Neighborhood House,Y,Y,Medium WiFi Speed,1,92.4,92.4,92.4
Independence Plaza Older Adult Center,Independence Plaza Older Adult Center,Y,N,Low WiFi Speed,1,24.3,24.3,24.3
Saint Nicholas Social Club,Saint Nicholas Social Club,Y,N,High WiFi Speed,1,420.2,420.2,420.2
Scheuer House of Coney Island Older Adult Center,Scheuer House of Coney Island Older Adult Center,Y,N,Medium WiFi Speed,1,92.1,92.1,92.1
Stanley M. Isaacs Neighborhood Community Center,Stanley M. Isaacs Neighborhood Community Center,Y,Y,Low WiFi Speed,1,0.0,0.0,0.0
Coney Island Library,Coney Island Library,Y,N,Medium WiFi Speed,1,100.0,100.0,100.0
