school_district,se_services,category,count,avg_value,total_value,max_value
30,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,1,,,
14,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,2,,,
11,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,2,,,
31,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,2,,,
16,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,1,,,
19,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,1,,,
5,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,1,,,
21,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,1,,,
2,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,1,,,
7,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,1,,,
9,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,1,,,
10,This school will provide students with disabilities the supports and services indicated on their IEPs,Low Bus Usage,1,,,
29,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,2,,,
24,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,1,,,
6,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,1,,,
20,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,1,,,
28,This school will provide students with disabilities the supports and services indicated on their IEPs.,Low Bus Usage,1,,,
