prgdesc8,prgdesc4,category,count,avg_value,total_value,max_value
,"Science, Technology, Engineering, Arts, and Math (STEAM) provides a CTE focus on a range of courses including: culinary, information technology, graphics, engineering, and architecture. The program includes innovative technical training leading to certification and opportunities to earn college credit. Students are expected to participate in our ninth grade summer program as well as Saturday classes for program acceleration",Low attendance,1,0.88,0.88,0.88
,,Low attendance,21,0.8619047619047618,18.099999999999998,0.97
,"Prepares students for careers in electrical and mechanical systems related to transportation and industrial and commercial wiring systems. Students are trained in a state-of-the-art lab, utilizing tools and equipment that are aligned with the MTA's training facility. Students are eligible for direct employment with MTA agencies including NYC Transit. Certificates/Industry Exams: OSHA 10hr and SkillsUSA Construction Wiring.",Low attendance,1,0.84,0.84,0.84
,"A four-year rigorous curriculum prepares students for college and career. Students take daily drama and movement classes on acting techniques and tuning their physical instruments in preparation for full productions in 11th and 12th grades. Students study theater history, voice and speech, improvisation, and digital filmmaking. Students complete internships with cultural organizations, compete yearly in the National Shakespeare Competition, and graduate with both a CTE and arts endorsement.",Low attendance,1,0.93,0.93,0.93
,"Participants study sight singing, music theory, and music history. This studio's performing groups include four symphony orchestras, two concert bands, two jazz bands, and two musical pit orchestras. Participants also have the opportunity to compose, conduct, and perform original repertoire and utilize a state-of-the-art SoundLab recording studio. Applicants should prepare a solo selection to perform without accompaniment and bring one copy of the music they plan to perform. Applicants should bring their instruments to the audition, except those auditioning on piano, percussion, tuba, double bass, and harp. These instruments will be provided by the school at the audition. Amplifiers will also be provided at the audition for electric guitarists. Applicants will be tested for rhythm and tonal memory and will be asked to complete a sight-reading of a given selection.",Low attendance,1,0.95,0.95,0.95
