total_ghg_emissions_intensity,last_modified_date_non,green_power_onsite_and_offsite,indoor_water_use_intensity,construction_status,electricity_use_grid_purchase_3,water_use_intensity_all_water
5,04/10/2020 05:35 PM EDT,0,23056.02,Existing,957600,23056.02
5.3,04/17/2020 12:54 PM EDT,0,155.88,Existing,890400.1,155.88
2.5,04/10/2020 05:36 PM EDT,190717.3,222.27,Existing,856317.3,222.27
8.7,04/17/2020 10:27 AM EDT,0,139.22,Existing,833200,139.22
6.2,04/10/2020 05:35 PM EDT,0,12.82,Existing,778240,12.82
4,05/18/2020 05:46 AM EDT,0,Not Available,Existing,7478831,Not Available
3.9,04/17/2020 10:28 AM EDT,0,56.88,Existing,697600,56.88
4.8,04/10/2020 05:35 PM EDT,0,85.03,Existing,605600,85.03
4.4,04/14/2020 02:38 PM EDT,0,Not Available,Existing,591400,Not Available
2.8,Not Available,0,41.17,Existing,562800,41.17
