legalname,total_maximum_capacity
JACKSON CHILD DEVELOPMENT CENTER,9432
Gan Yisroel of Crown Heights,0
HAWTHORNE CORNERS DAY CARE CENTER INC.,220
CREATIVE DISCOVERY PRE-SCHOOL INC,128
BEGINNINGS NURSERY SCHOOL,148
"A TO Z CENTER TOO, INC.",1020
JHELC INC.,55
"TUTOR TIME LEARNING CENTERS,LLC",928
BRONX STARBRIGHT INC.,18
ASSOCIATION TO BENEFIT CHILDREN,110
PERRY KIDS INC.,58
"OUR CHILDREN FIRST, INC",60
HEARTSHARE HUMAN SERVICES OF NEW YORK,424
"BOOKS & RATTLES, INC.",264
UNITED LUBAVITCHER YESIVOTH,0
SHINING SMILES DAYCARE 1 INC,118
IRAS BRIARWOOD DAY CARE AND PRESCHOOL INC.,61
"URBAN CONCEPTS OF NEW YORK,ROUND THE CLOCK NURSERY, INC.",140
"BILINGUAL NEST, LLC",22
OUR LITTLE ANGELS CORP,148
THE HUDSON GUILD,144
STEPPING STONES 86 LLC,0
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,776
Sunshine Center of Coney Island LLC,106
BSDC INC,30
UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,312
"PNW ENTERPRISES, LLC",412
THE ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,0
PROSPECT PARK YESHIVA,0
"NORTHEAST BRONX DAY CARE CENTER, INC.",234
BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,32
"3467 READY, SET, LEARN, L L C",167
"NORTHEAST BRONX DAY CARE CENTER,INC.",240
Kochavim Ktanim Child Care Inc,35
"NEW YORK CHILD RESOURCE CENTER, INC.",103
WILLIAMSBURG INFANT & EARLY CHILDHOOD DEVELOPMENT CENTER,2640
JOY DAYCARE INC.,89
SUNSHINE DAY CARE OF MOTT HAVEN,44
"CHABAD OF GRAMERCY PARK, INC.",216
"URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC",300
LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,220
"SY SEIT, LLC",702
THE CHILD STUDY CENTER OF NEW YORK,142
WE R EXPLORERS LLC,118
ST. HELENA SCHOOL,0
NYC Early Learning Company Inc,110
ASIAN-AMERICAN COALITION FOR EDUCATION (ACE),156
BRIGHT HORIZONS CHILDREN'S CENTER LLC,162
"PSYCHOTHERAPEUTIC EVALUATIONAL PROGRAMS, INC.",1496
TUTOR TIME LEARNING CENTERS LLC,176
