building_manager,total_high_gallons
MOCAL ENTERPRISES INC.,81304
ESTATE OF EDWIN S. LOWE/CHASE MAN,82125
ENF. 11/20/92,26280
GVA WILLIAMS REAL ESTATE CO.,16470
ONE FIFTH AVE APT/INSIGNIA RESIDENT,328500
77 PARK AVE. CONDOMINIUM,168356
CHURCH MANAGEMENT,168356
CHARLES H. GREENTHAL,269969
R.G.A. AGENT/38 WEST 32 ASSOCIATES,66000
12 E 12 STREET CONDO,38115
WEST 63 EMPIRE ASSOCIATES LLC,93294
JEFFREY MANAGEMENT,205312
"CHELSEA 25, LLC",44457
"LEIST,FRED",21079
130 WEST 57 STREET CO,45990
THREE O REALTY LLC,40824
ONE HUDSON PARK INC,75555
T.U.C. MANAGEMENT CO.INC.,14746
"TUR,JOSE",21900
MIRANDA REALTY ASSOC.,86140
MURRAY HILL OWNERS CO.,57232
NEW BEDFORD MGMT,54604
CHARLES STREET ASSOCIATES,23360
RANDAL HSE. OWNERS % AKAM ASSOC.,82125
PR 30 LLC,21681
162 ASSOCIATES LLCC/O MUTRRY HILL,49056
227 TENANTS CORP.,19856
MARTY MYERS/EDWIN,21000
OUR LADY OF POMPEI R.C.CHURCH,37800
PARISH OF TRINITY CHURCH,41063
110 W.40 JOINT VENTURE,57720
WASSERSTEIN BROS,52871
29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,25800
MOSHE GLICKMAN,59447
JENEL MANAGMENT,50820
HUNTER COLLEGE,0
CAPITAL BUILDING LOFT CORP.,33600
MANCHESTER WEST 36 LLC,56575
MARTIN BAUMRIND,26953
DEZER PROPERTIES,33375
BROCROS REALTY,14500
119 FIFTH AVE.CORP.,29740
CARL S YOUNG,54896
55 PARK TENANTS CORP.,32850
LEE KWAN CHAH,14800
REAL ESTATE INDUSTRIAL INC.,78840
ELO EQUITIES LLC,24500
470P.A.ASSOC/S.L.GREEN MG,73913
CONCOURSE MGMT/BLDG MGMT INC.,29200
HELMSLEY SPEAR INC.,120085
