issue_date,issuing_agency,total,average,count
2016-07-26 00:00:00,T,72,18.0,4
2016-07-24 00:00:00,T,20,20.0,1
2016-07-09 00:00:00,T,13,13.0,1
2017-01-13 00:00:00,T,94,94.0,1
2016-10-14 00:00:00,T,107,107.0,1
2016-08-11 00:00:00,P,68,68.0,1
2016-08-17 00:00:00,T,26,13.0,2
2017-05-11 00:00:00,V,0,0.0,6
2017-06-17 00:00:00,T,112,112.0,1
2016-12-05 00:00:00,T,14,14.0,1
2017-01-16 00:00:00,T,38,19.0,2
2016-07-05 00:00:00,V,0,0.0,6
2016-11-12 00:00:00,T,14,14.0,1
2017-06-15 00:00:00,T,24,12.0,2
2016-09-09 00:00:00,T,230,115.0,2
2016-11-02 00:00:00,T,18,18.0,1
2016-07-01 00:00:00,T,23,23.0,1
2016-07-25 00:00:00,V,0,0.0,6
2016-11-22 00:00:00,T,114,114.0,1
2016-12-08 00:00:00,T,54,18.0,3
2017-06-26 00:00:00,T,38,19.0,2
2017-03-07 00:00:00,T,340,68.0,5
2016-11-22 00:00:00,V,0,0.0,6
2017-04-07 00:00:00,V,0,0.0,6
2017-02-02 00:00:00,V,0,0.0,6
2016-10-20 00:00:00,V,0,0.0,6
2017-03-09 00:00:00,V,0,0.0,6
2016-11-19 00:00:00,V,0,0.0,6
2016-07-28 00:00:00,P,84,84.0,1
2017-02-07 00:00:00,V,0,0.0,6
2017-03-13 00:00:00,V,0,0.0,6
2017-01-10 00:00:00,T,86,43.0,2
2017-02-16 00:00:00,T,28,14.0,2
2017-06-16 00:00:00,T,13,13.0,1
2016-07-20 00:00:00,T,1,1.0,1
2017-06-07 00:00:00,V,0,0.0,6
2016-10-21 00:00:00,V,0,0.0,6
2017-03-16 00:00:00,T,52,13.0,4
2017-04-27 00:00:00,V,0,0.0,6
2017-04-05 00:00:00,V,0,0.0,6
2017-03-16 00:00:00,V,0,0.0,12
2016-09-23 00:00:00,V,0,0.0,6
2016-08-12 00:00:00,V,0,0.0,6
2017-04-21 00:00:00,V,0,0.0,12
2016-09-16 00:00:00,T,240,120.0,2
2016-10-21 00:00:00,P,49,49.0,1
2016-12-30 00:00:00,T,48,24.0,2
2017-03-15 00:00:00,T,65,13.0,5
2016-07-15 00:00:00,V,0,0.0,6
2016-08-10 00:00:00,S,72,72.0,1
2016-10-07 00:00:00,V,0,0.0,6
2016-09-29 00:00:00,T,140,70.0,2
2017-05-30 00:00:00,T,156,52.0,3
2016-11-07 00:00:00,T,2,1.0,2
2017-05-30 00:00:00,V,0,0.0,6
2016-07-03 00:00:00,V,0,0.0,6
2016-11-07 00:00:00,V,0,0.0,6
2016-07-21 00:00:00,V,0,0.0,6
2016-12-14 00:00:00,P,1,1.0,1
2016-10-07 00:00:00,S,70,70.0,1
2016-07-19 00:00:00,P,49,49.0,1
2016-10-01 00:00:00,V,0,0.0,6
2016-09-30 00:00:00,V,0,0.0,6
2016-12-07 00:00:00,V,0,0.0,6
2017-02-17 00:00:00,V,0,0.0,6
2017-05-05 00:00:00,T,38,19.0,2
2016-07-14 00:00:00,T,57,19.0,3
2017-05-04 00:00:00,T,1,1.0,1
2016-10-26 00:00:00,T,114,114.0,1
2016-11-08 00:00:00,T,342,114.0,3
2016-10-26 00:00:00,V,0,0.0,12
2016-08-09 00:00:00,T,340,68.0,5
2017-01-31 00:00:00,V,0,0.0,6
2016-12-12 00:00:00,V,0,0.0,6
2017-04-03 00:00:00,V,0,0.0,6
2017-01-05 00:00:00,V,0,0.0,6
2016-11-21 00:00:00,T,7,7.0,1
2016-10-19 00:00:00,T,19,19.0,1
2017-05-15 00:00:00,T,71,71.0,1
2016-09-20 00:00:00,V,0,0.0,12
2016-11-03 00:00:00,V,0,0.0,6
2017-06-05 00:00:00,V,0,0.0,6
2017-05-24 00:00:00,V,0,0.0,6
