bin,legalname,childcaretype,programtype,facilitytype,t5_legalname,t6_bin,inspectiondate,record_count,total_amount,avg_amount,max_amount,min_amount
4182252,"PSYCHOTHERAPEUTIC EVALUATIONAL PROGRAMS, INC.",Child Care - Pre School,PRESCHOOL,GDC,"PSYCHOTHERAPEUTIC EVALUATIONAL PROGRAMS, INC.",4182252,2022-05-20 00:00:00,8,49.028000000000006,6.128500000000001,6.1285,6.1285
4595432,JACKSON CHILD DEVELOPMENT CENTER,Child Care - Pre School,PRESCHOOL,GDC,JACKSON CHILD DEVELOPMENT CENTER,4595432,2022-04-26 00:00:00,72,441.25199999999927,6.12849999999999,6.1285,6.1285
1087340,"TUTOR TIME LEARNING CENTERS,LLC",Child Care - Pre School,PRESCHOOL,GDC,"TUTOR TIME LEARNING CENTERS,LLC",1087340,2021-09-16 00:00:00,8,44.5076,5.56345,6.1285,4.9984
2028943,ST. HELENA SCHOOL,School Based Child Care,PRESCHOOL,SBCC,ST. HELENA SCHOOL,2028943,2021-12-10 00:00:00,2304,53687.11680000323,23.3017000000014,23.3017,23.3017
1087340,"TUTOR TIME LEARNING CENTERS,LLC",Child Care - Pre School,INFANT TODDLER,GDC,"TUTOR TIME LEARNING CENTERS,LLC",1087340,2021-09-16 00:00:00,8,44.5076,5.56345,6.1285,4.9984
4119270,"SY SEIT, LLC",Child Care - Pre School,PRESCHOOL,GDC,"SY SEIT, LLC",4119270,2021-11-30 00:00:00,18,110.31300000000003,6.128500000000002,6.1285,6.1285
3141674,WILLIAMSBURG INFANT & EARLY CHILDHOOD DEVELOPMENT CENTER,Child Care - Pre School,PRESCHOOL,GDC,WILLIAMSBURG INFANT & EARLY CHILDHOOD DEVELOPMENT CENTER,3141674,2022-07-14 00:00:00,8,49.028000000000006,6.128500000000001,6.1285,6.1285
4231222,"A TO Z CENTER TOO, INC.",Child Care - Pre School,PRESCHOOL,GDC,"A TO Z CENTER TOO, INC.",4231222,2022-09-08 00:00:00,6,36.771,6.1285,6.1285,6.1285
4258993,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,Child Care - Pre School,PRESCHOOL,GDC,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,4258993,2022-07-01 00:00:00,8,49.028000000000006,6.128500000000001,6.1285,6.1285
3141674,WILLIAMSBURG INFANT & EARLY CHILDHOOD DEVELOPMENT CENTER,Child Care - Pre School,PRESCHOOL,GDC,WILLIAMSBURG INFANT & EARLY CHILDHOOD DEVELOPMENT CENTER,3141674,2022-07-28 00:00:00,8,49.028000000000006,6.128500000000001,6.1285,6.1285
4000000,THE ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,School Based Child Care,PRESCHOOL,SBCC,THE ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,4000000,2021-11-10 00:00:00,32,745.6543999999997,23.30169999999999,23.3017,23.3017
