lotid,total_lot_billing,assignedtoinspector,detailentrydate
204033,0.0,N,2015-03-16 11:39:00
209541,0.0,N,2015-11-23 12:42:55
134136,,N,2001-07-17 08:14:05
51402,,N,2007-06-06 10:57:04
79234,410.87,N,2009-05-07 14:42:54
112453,,N,2000-03-28 10:45:19
182361,0.0,N,2012-03-12 10:05:10
181903,0.0,N,2012-03-27 09:15:08
31105,,N,2005-12-05 11:52:15
41841,,N,2006-09-19 09:34:40
134747,,N,2001-06-12 08:57:44
111750,,N,1998-04-14 11:03:03
36588,,N,2006-05-23 10:02:53
75626,,N,2008-12-26 22:44:46
28725,,N,2005-10-07 09:11:03
167219,,N,1998-09-08 15:58:38
45939,,N,2007-01-18 08:48:45
67726,870.08,N,2008-08-19 11:14:49
107635,,N,1999-12-27 08:34:33
51402,,N,2007-06-06 10:57:44
94024,,N,2010-06-30 11:49:57
109674,731.56,N,2000-04-10 10:59:07
147281,,N,2002-06-11 08:22:45
7338,,N,2004-09-07 08:58:42
126197,,N,2000-12-20 14:41:27
182954,0.0,N,2012-04-16 11:23:02
148982,,N,2002-05-10 10:01:06
207691,0.0,N,2015-07-21 09:07:56
49531,,N,2007-05-07 09:16:34
131159,,N,2001-07-23 10:15:21
152654,,N,2002-10-07 09:52:43
177491,0.0,N,2011-08-30 12:48:19
8132,,N,1998-08-31 09:21:07
13967,,N,2004-10-07 11:24:01
40251,,N,2006-08-14 14:17:19
161575,,N,2004-02-03 10:28:53
106434,,N,1998-05-26 09:34:32
3501,,N,2004-02-17 14:33:10
211158,0.0,N,2016-01-19 10:31:12
101001,,N,1998-06-01 11:24:54
32165,,N,1998-04-09 12:45:39
75266,,N,1999-04-06 10:21:48
130151,,N,2001-05-14 14:56:51
210567,0.0,N,2015-12-11 09:37:38
185409,0.0,N,2012-08-09 10:29:07
80421,,N,2009-06-09 15:42:22
56436,,N,1998-03-09 15:53:11
10285,,N,2004-08-31 14:40:50
122541,,N,2000-10-16 08:59:35
163786,,N,2003-08-12 10:22:42
66271,,N,2008-04-23 14:29:57
122541,,N,2000-10-17 14:22:56
