chgdt,str_name,hnum_lo,total_count,total_amount
2011-01-03 00:00:00,LITTLE WEST STREET,20.0,19,224003
2011-01-06 00:00:00,BATTERY PLACE,70.0,2,40500
2011-01-03 00:00:00,RECTOR PLACE,380.0,1,16217
2011-01-03 00:00:00,RECTOR PLACE,377.0,19,443934
2011-01-03 00:00:00,MONROE STREET,31.0,1,14583
2011-01-03 00:00:00,WATER STREET,1.0,4,2862483
