location_name,location_code,school_year,category,count,avg_value,total_value,max_value
333 EAST 151 STREET CONSOLIDATED LOCATION,X600,2016 - 17,low property incidents,1,,,
P.S. 284 Lew Wallace,K284,2016 - 17,medium property incidents,1,0.98,0.98,0.98
Brooklyn Academy High School,K553,2016 - 17,medium property incidents,2,0.98,1.96,0.98
Professional Pathways High School,K630,2016 - 17,low property incidents,4,,,
Benjamin Banneker Academy,K670,2016 - 17,medium property incidents,1,0.75,0.75,0.75
Bronx Community High School,X377,2016 - 17,low property incidents,1,,,
Midwood High School,K405,2016 - 17,high property incidents,1,2.55,2.55,2.55
Professional Performing Arts High School,M408,2016 - 17,low property incidents,4,,,
P.S. 195 Manhattan Beach,K195,2016 - 17,medium property incidents,1,0.75,0.75,0.75
32 WEST  92 STREET CONSOLIDATED LOCATION,M084,2016 - 17,low property incidents,4,,,
"New Explorations into Science, Technology and Math",M539,2016 - 17,medium property incidents,1,0.75,0.75,0.75
Satellite East Middle School,K301,2016 - 17,medium property incidents,1,0.63,0.63,0.63
P.S. 084 Lillian Weber,M084,2016 - 17,medium property incidents,4,0.98,3.92,0.98
P.S. 234 Independence School,M234,2016 - 17,low property incidents,1,,,
P.S. 176 Cambria Heights,Q176,2016 - 17,medium property incidents,1,0.98,0.98,0.98
223 EAST 23 STREET CONSOLIDATED LOCATION,M047,2016 - 17,low property incidents,1,,,
P.S. 147 Isaac Remsen,K147,2016 - 17,medium property incidents,3,0.75,2.25,0.75
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,K366,2016 - 17,medium property incidents,1,0.63,0.63,0.63
430 HOWARD AVENUE CONSOLIDATED LOCATION,K012,2016 - 17,medium property incidents,2,0.63,1.26,0.63
P.S. 014 Fairview,Q014,2016 - 17,high property incidents,1,1.39,1.39,1.39
P.S. 194 Countee Cullen,M194,2016 - 17,low property incidents,1,,,
Brooklyn Brownstone School,K628,2016 - 17,low property incidents,1,,,
4200 16 AVENUE CONSOLIDATED LOCATION,K223,2016 - 17,low property incidents,3,,,
"City Polytechnic High School of Engineering, Archi",K674,2016 - 17,low property incidents,4,,,
P.S. 084 Lillian Weber,M084,2016 - 17,low property incidents,4,,,
P.S. 212 Midtown West,M212,2016 - 17,medium property incidents,4,0.51,2.04,0.51
P.S. 179 Kensington,K179,2016 - 17,medium property incidents,1,0.63,0.63,0.63
P.S. M094,M094,2016 - 17,medium property incidents,3,0.75,2.25,0.75
999 JAMAICA AVENUE CONSOLIDATED LOCATION,K420,2016 - 17,low property incidents,2,,,
32 WEST  92 STREET CONSOLIDATED LOCATION,M084,2016 - 17,medium property incidents,4,0.98,3.92,0.98
P.S. 452,M452,2016 - 17,low property incidents,2,,,
P.S. 042 Benjamin Altman,M042,2016 - 17,medium property incidents,1,0.75,0.75,0.75
J.H.S. 078 Roy H. Mann,K078,2016 - 17,low property incidents,2,,,
34 WEST 118 STREET,M149,2016 - 17,medium property incidents,1,0.63,0.63,0.63
P.S. 373 - Brooklyn Transition Center,K373,2016 - 17,low property incidents,1,,,
P.S. 041 Francis White,K041,2016 - 17,medium property incidents,1,0.63,0.63,0.63
108-35 167 STREET CONSOLIDATED LOCATION,Q008,2016 - 17,high property incidents,1,2.55,2.55,2.55
105 TECH PLACE CONSOLIDATED LOCATION,K580,2016 - 17,low property incidents,4,,,
In-Tech Academy (M.S. / High School 368),X368,2016 - 17,low property incidents,1,,,
I.S. 285 Meyer Levin,K285,2016 - 17,medium property incidents,1,0.63,0.63,0.63
New Visions Charter High School for Advanced Math,K738,2016 - 17,low property incidents,4,,,
EXCELLENCE GIRLS CHARTER SCHOOL(BN),K712,2016 - 17,low property incidents,1,,,
P.S. 243K- The Weeksville School,K243,2016 - 17,medium property incidents,1,0.51,0.51,0.51
P.S. 158 Bayard Taylor,M158,2016 - 17,medium property incidents,2,0.63,1.26,0.63
P.S. 21 Margaret Emery-Elm Park,R021,2016 - 17,medium property incidents,1,0.75,0.75,0.75
Belmont Preparatory High School,X434,2016 - 17,high property incidents,1,3.63,3.63,3.63
P.S. 031 Samuel F. Dupont,K031,2016 - 17,medium property incidents,1,0.75,0.75,0.75
P.S. M079 - Horan School,M079,2016 - 17,medium property incidents,1,0.75,0.75,0.75
P.S./I.S. 104 The Fort Hamilton School,K104,2016 - 17,high property incidents,1,1.72,1.72,1.72
1700 FULTON STREET CONSOLIDATED LOCATION,K455,2016 - 17,low property incidents,2,,,
325 SOUTH  3 STREET CONSOLIDATED LOCATION,K414,2016 - 17,medium property incidents,1,0.75,0.75,0.75
The Mott Hall School,M223,2016 - 17,low property incidents,1,,,
