job_status,applicant_professional_title,category,count,avg_value,total_value,max_value
R,RA,low cost,31,2408.1612903225805,74653,4797
D,PE,medium cost,6,11037.0,66222,13572
J,PE,low cost,2,3393.0,6786,3393
P,RA,low cost,1,1452.0,1452,1452
P,PE,medium cost,3,11155.0,33465,16500
D,RA,low cost,141,997.2765957446809,140616,1000
R,PE,low cost,128,1588.53125,203332,4797
P,PE,high cost,2,37200.0,74400,37200
R,RA,medium cost,4,11553.75,46215,13455
D,PE,low cost,2,1800.0,3600,1800
J,PE,medium cost,4,5499.0,21996,5499
H,RA,low cost,1,1000.0,1000,1000
R,PE,high cost,4,44928.0,179712,44928
D,RA,high cost,1,30000.0,30000,30000
J,RA,medium cost,2,5499.0,10998,5499
R,PE,medium cost,16,9109.25,145748,13455
P,PE,low cost,7,1564.0,10948,2500
