printedschoolname,accessibility,category,count,avg_value,total_value,max_value
West Bronx Academy for the Future,Fully Accessible,Medium performance,1,90.0,90.0,90.0
J.H.S. 194 William Carr,Not Accessible,High performance,1,94.0,94.0,94.0
J.H.S. 054 Booker T. Washington,Not Accessible,High performance,1,99.0,99.0,99.0
J.H.S. 190 Russell Sage,Fully Accessible,High performance,1,96.0,96.0,96.0
Baychester Middle School,Not Accessible,Medium performance,1,87.0,87.0,87.0
Mott Hall III,Not Accessible,High performance,1,94.0,94.0,94.0
P.S. 211,Partially Accessible,Medium performance,1,86.0,86.0,86.0
Richard S. Grossley (J.H.S. 8),Partially Accessible,Medium performance,1,90.0,90.0,90.0
Catherine & Count Basie Middle School 72,Partially Accessible,Medium performance,1,88.0,88.0,88.0
James Weldon Johnson,Not Accessible,Medium performance,1,80.0,80.0,80.0
The Bronx School of Young Leaders,Fully Accessible,Medium performance,1,82.0,82.0,82.0
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",Fully Accessible,High performance,1,100.0,100.0,100.0
East-West School of International Studies,Partially Accessible,High performance,1,95.0,95.0,95.0
Columbia Secondary School,Partially Accessible,High performance,1,95.0,95.0,95.0
Amistad Dual Language School,Fully Accessible,Medium performance,1,86.0,86.0,86.0
Professional Performing Arts School,Not Accessible,High performance,1,100.0,100.0,100.0
MS 593,Not Accessible,Low performance,1,,,
School of Authors (P.S./M.S. 108 ),Not Accessible,Medium performance,1,85.0,85.0,85.0
East Side Middle School,Fully Accessible,High performance,1,100.0,100.0,100.0
M.S.898,Not Accessible,Low performance,1,,,
M.S. 224 Manhattan East School for Arts & Academics,Not Accessible,Medium performance,1,89.0,89.0,89.0
Wadleigh Secondary School for the Performing & Visual Arts,Partially Accessible,Medium performance,1,86.0,86.0,86.0
Urban Assembly Academy for Future Leaders,Not Accessible,Medium performance,1,77.0,77.0,77.0
