neighborhood_tabulation_area,prevailing_wage_status,total,count,average
BX1202,Non Prevailing Wage,2952,270,10.933333333333334
SI0107,Non Prevailing Wage,1524,72,21.166666666666668
BX0303,Non Prevailing Wage,276,2,138.0
QN0201,Non Prevailing Wage,274,2,137.0
MN0302,Non Prevailing Wage,219,1,219.0
BX0302,Non Prevailing Wage,179,7,25.571428571428573
BX0502,Non Prevailing Wage,153,2,76.5
BX0403,Non Prevailing Wage,98,1,98.0
BX0401,Non Prevailing Wage,91,3,30.333333333333332
BK0202,Non Prevailing Wage,73,1,73.0
QN0103,Non Prevailing Wage,68,1,68.0
BX0101,Non Prevailing Wage,64,2,32.0
QN0105,Non Prevailing Wage,63,1,63.0
BK0502,Non Prevailing Wage,62,4,15.5
MN0703,Non Prevailing Wage,58,4,14.5
MN1001,Non Prevailing Wage,56,1,56.0
MN1002,Non Prevailing Wage,48,1,48.0
BX0702,Non Prevailing Wage,44,1,44.0
BK1702,Non Prevailing Wage,36,1,36.0
BK0702,Non Prevailing Wage,36,6,6.0
QN1401,Non Prevailing Wage,26,1,26.0
BK0402,Non Prevailing Wage,25,4,6.25
BX1203,Non Prevailing Wage,25,1,25.0
BX0904,Non Prevailing Wage,24,1,24.0
BK1703,Non Prevailing Wage,9,1,9.0
BX0402,Non Prevailing Wage,8,1,8.0
