dsny_district,categoriesaccepted,count,total
SI03,Clothing/Personal Accessories,2,102.0
QE07,"Clothing/Personal Accessories, Footwear",4,77.0
BKN01,Books/Media,2,68.0
SI02,"Clothing/Personal Accessories, Footwear",1,51.0
SI03,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment",1,51.0
SI01,"Clothing/Personal Accessories, Footwear",1,49.0
BKN05,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Household Furniture/Furnishings, Lawn/Garden Supplies, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Sports Equipment, Toys/Ga",1,42.0
BKS07,"Food/Beverage, Baby Care",1,38.0
BKN04,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear",1,37.0
BKN04,"Clothing/Personal Accessories, Footwear",1,37.0
BKN08,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene",1,36.0
BKN03,"Arts/Crafts, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",1,36.0
BKN03,"Clothing/Personal Accessories, Footwear",1,36.0
BKN01,"Clothing/Personal Accessories, Footwear",1,33.0
BKN01,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games",1,33.0
QW09,"Clothing/Personal Accessories, Footwear",1,32.0
QE13,Clothing/Personal Accessories,1,31.0
QW09,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",1,29.0
BX11,HealthCare,2,26.0
QE08,"Appliances, Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Musical Instruments, Office Furniture/Furnishings, Toys/Games",1,24.0
QE12,"Clothing/Personal Accessories, Footwear",1,23.0
QW01,"Clothing/Personal Accessories, Footwear",1,22.0
BX06,Food/Beverage,1,15.0
BX06,"Clothing/Personal Accessories, Footwear",1,15.0
BX11,"Clothing/Personal Accessories, Footwear",1,13.0
BX12,"Appliances, Sports Equipment, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Kitchen Items, Household Furniture/Furnishings, HealthCare, Footwear, Food/Beverage, Electronics, Clothing/Personal Access",1,12.0
MN12,"Clothing/Personal Accessories, Footwear",1,10.0
BX01,"Baby Care, Building Products, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, Kitchen Items, Lawn/Garden Supplies, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",1,8.0
MN02,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",2,4.0
