last_modified_date_electric,water_use_intensity_all_water,source_energy_use_adjusted,total,count,average
04/03/2018 01:31 PM EDT,80.18,8336834.4,160.36,2,80.18
03/04/2018 11:12 AM EST,79.21,8180493.7,158.42,2,79.21
03/09/2018 01:27 PM EST,68.91,4341105.0,137.82,2,68.91
03/12/2018 03:13 PM EDT,135.24,,135.24,1,135.24
03/12/2018 10:09 AM EDT,107.85,15395788.7,107.85,1,107.85
03/08/2018 09:24 AM EST,97.0,14303773.9,97.0,1,97.0
03/05/2018 09:05 AM EST,90.95,,90.95,1,90.95
03/26/2018 09:10 AM EDT,89.74,3275487.4,89.74,1,89.74
04/04/2018 09:24 AM EDT,89.66,4309152.3,89.66,1,89.66
03/27/2018 03:48 PM EDT,78.05,7224795.1,78.05,1,78.05
03/22/2018 04:25 PM EDT,77.87,33610279.6,77.87,1,77.87
02/06/2018 08:15 AM EST,10.21,10803209.4,61.260000000000005,6,10.21
03/20/2018 11:42 AM EDT,57.11,5361349.1,57.11,1,57.11
02/20/2018 09:53 AM EST,51.65,,51.65,1,51.65
02/26/2018 02:34 PM EST,47.98,10092080.7,47.98,1,47.98
02/19/2018 01:45 PM EST,13.8,170180909.2,41.400000000000006,3,13.800000000000002
04/04/2018 11:14 AM EDT,37.59,,37.59,1,37.59
03/06/2018 09:26 AM EST,36.16,,36.16,1,36.16
03/08/2018 10:28 AM EST,29.37,8832834.7,29.37,1,29.37
02/19/2018 01:52 PM EST,12.07,83907090.9,24.14,2,12.07
03/29/2018 01:35 PM EDT,23.36,127179405.8,23.36,1,23.36
03/27/2018 11:21 AM EDT,22.36,15058990.2,22.36,1,22.36
03/20/2018 10:24 AM EDT,22.35,65485166.6,22.35,1,22.35
02/15/2018 03:27 PM EST,21.09,19688464.2,21.09,1,21.09
02/27/2018 04:00 PM EST,20.84,,20.84,1,20.84
,19.74,,19.74,1,19.74
03/07/2018 07:09 PM EST,19.59,170333395.3,19.59,1,19.59
03/15/2018 03:41 PM EDT,9.62,,19.24,2,9.62
03/13/2018 09:27 AM EDT,14.71,,14.71,1,14.71
03/16/2018 05:08 PM EDT,6.92,6523588.0,13.84,2,6.92
03/29/2018 12:23 PM EDT,13.01,23277606.3,13.01,1,13.01
03/20/2018 02:28 PM EDT,12.0,53536325.3,12.0,1,12.0
03/02/2018 03:41 PM EST,8.01,8683743.6,8.01,1,8.01
,5.04,3454514.6,5.04,1,5.04
04/03/2018 05:13 PM EDT,4.22,,4.22,1,4.22
,0.83,1041599.9,3.32,4,0.83
04/03/2018 03:24 PM EDT,2.11,9430466.2,2.11,1,2.11
03/15/2018 04:00 PM EDT,1.13,,1.13,1,1.13
