property_name,total_investment_in_energy_projects,property_floor_area_building,latitude,longitude,latitude,longitude
845 Third Avenue,0,342387,40.756688,-73.970128,40.756688,-73.970128
595 West End Ave,0,55190,40.790637,-73.976591,40.790637,-73.976591
200 East 84th Street,0,137469,40.777357,-73.954614,40.777357,-73.954614
785 Fifth Avenue,0,184489,40.764627,-73.972745,40.764627,-73.972745
Westleigh Company LLC,0,80754,40.75201,-73.882634,40.75201,-73.882634
cushwake450,0,2613986,40.741617,-73.987449,40.741617,-73.987449
1840 Concourse Associates,0,58000,40.848054,-73.907271,40.848054,-73.907271
"RSD 920, LLC",0,83952,40.838824,-73.945635,40.838824,-73.945635
350 E 77 St.,0,66962,40.771508,-73.95482,40.771508,-73.95482
209 E 23,0,79965,40.738642,-73.982679,40.738642,-73.982679
50 ARLO RD ENT,0,22033,40.619938,-74.092171,40.619938,-74.092171
23 ARLO RD OM,0,39667,40.619815,-74.091487,40.619815,-74.091487
130 Jane St.,0,50820,40.738137,-74.009093,40.738137,-74.009093
10167 55 E 59th Street,0,295780,40.763336,-73.970789,40.763336,-73.970789
ATCO - 555 Fifth Avenue,0,244534,40.755801,-73.97874,40.755801,-73.97874
1007-7501,0,90374,40.768051,-73.89144,40.768051,-73.89144
44 West 62nd Street,0,213796,40.770755,-73.98262,40.770755,-73.98262
2612 W 2 ST PLPM,0,194870,40.585708,-73.971212,40.585708,-73.971212
82 Wall Street,0,56271,40.705415,-74.007729,40.705415,-74.007729
The Visionaire,0,457771,40.70706,-74.016519,40.70706,-74.016519
230 West 38th Street,0,157059,40.753942,-73.989829,40.753942,-73.989829
175 lawrence,0,105000,40.6308,-73.973311,40.6308,-73.973311
CW Diesel 220 West 19th Street,0,110032,40.742093,-73.998528,40.742093,-73.998528
Flushing,0,166738,40.759785,-73.829236,40.759785,-73.829236
"DIAMOND: 2115 Washington Realty, L.L.C.",0,85550,40.852799,-73.853325,40.852799,-73.853325
The Ford Foundation,0,287400,40.750156,-73.970935,40.750156,-73.970935
MMS428 - East 110th street,0,222200,40.792132,-73.938046,40.792132,-73.938046
Patchogue Homes Condo I,0,192368,40.668248,-73.849372,40.668248,-73.849372
One Liberty Plaza,0,2346193,40.709589,-74.010186,40.709589,-74.010186
TRUSTEES OF THE MASONIC HALL,0,372545,40.742441,-73.991667,40.742441,-73.991667
1160 Third Avenue - Frost Owners Corp,0,152026,40.766971,-73.962639,40.766971,-73.962639
3130 Grand Concourse,0,150135,40.875123,-73.886286,40.875123,-73.886286
250 West 57th,0,601586,40.766391,-73.982119,40.766391,-73.982119
730 Third Ave,0,627731,40.753104,-73.972757,40.753104,-73.972757
225 FOURTH COMPANY,0,615000,40.737366,-73.988424,40.737366,-73.988424
909 Third,0,791632,40.758744,-73.968618,40.758744,-73.968618
327 Central Park West Condominium,0,102972,40.789792,-73.966491,40.789792,-73.966491
250 West 24th Street,0,74545,40.745378,-73.996651,40.745378,-73.996651
Court Square Place,0,275252,40.748206,-73.943731,40.748206,-73.943731
220 Riverside Boulevard,0,795215,40.77969,-73.987882,40.77969,-73.987882
"Plaza 52, LLC",0,297836,40.757534,-73.970965,40.757534,-73.970965
KOFLER ASSOCIATES,0,63270,40.740448,-73.984894,40.740448,-73.984894
1461 SHORE PKWY PLPM,0,85757,40.598335,-74.005315,40.598335,-74.005315
2955 W29th (Oceangate 28),0,149955,40.573627,-73.995033,40.573627,-73.995033
316 W 84 St.,0,51450,40.787832,-73.97947,40.787832,-73.97947
AMBASSADOR APTS INC,0,50070,40.705268,-73.807754,40.705268,-73.807754
257 West 86th Street,0,68821,40.788559,-73.977065,40.788559,-73.977065
Hudson Alley,0,51750,40.722374,-74.00815,40.722374,-74.00815
315 Hudson St,0,427972,40.72631,-74.00749,40.72631,-74.00749
Higgins Hall,0,136000,40.688353,-73.964511,40.688353,-73.964511
