sitename,sitename,apptorwalkin,ifridayopen,opendateiso,providername,l1,total_xcoordinate
EDENWALD,EDENWALD,Appointment Only,,2019-01-11 00:00:00,MMCC,"""English, Spanish""",1027079
"""NYCHA Armstrong I & II, Marcy & Lafayette Houses - Bedford Stuyvesant Restoration Corporation- Flushing ""","""NYCHA Armstrong I & II, Marcy & Lafayette Houses - Bedford Stuyvesant Restoration Corporation- Flushing """,Appointment Only,9.5,2019-01-28 00:00:00,Food Bank For New York City,English,998544
Our Lady of Pompeii Sr. Center,Our Lady of Pompeii Sr. Center,Walk-in Only,,2019-01-29 00:00:00,AARP Tax Aide,"""English, Spanish""",983526
Office of Council Member Deutsch,Office of Council Member Deutsch,Appointment Only,,2019-01-22 00:00:00,Grow Brooklyn,"""English, Spanish, Russian""",998843
NYCHA Brooklyn Community Service Farragut Cornerstone,NYCHA Brooklyn Community Service Farragut Cornerstone,Appointment Only,11.0,2019-01-28 00:00:00,Food Bank For New York City,English,989307
East Flatbush Kings County Hospital NYC Health+Hospitals,East Flatbush Kings County Hospital NYC Health+Hospitals,Appointment Only,11.0,2019-01-23 00:00:00,Grow Brooklyn,English,999627
Sunnyside,Sunnyside,Appointment Only,,2019-02-06 00:00:00,Urban Upbound,"""English, Spanish""",1004780
Tremont Library,Tremont Library,Walk-in Only,10.0,2019-01-28 00:00:00,Food Bank For New York City,English,1012335
Northern Manhattan Improvement Corporation,Northern Manhattan Improvement Corporation,Appointment Only,9.0,2019-01-28 00:00:00,Food Bank For New York City,"""English, Spanish""",1001508
