originaloverride,lotissysflageddupoverridden,salestax,total_hrs,requeststatusid,areaid,lotstatusid,detailentrydate,rank,dense_rank
0,,,0.0,1048,40,702,2001-05-14 14:56:51,1,1
0,,36.46,0.0,1048,40,702,2009-05-07 14:42:54,1,1
0,,,0.0,1048,40,702,1998-06-01 11:24:54,1,1
0,0.0,0.0,0.0,1048,40,702,2012-03-27 09:15:08,1,1
0,0.0,0.0,0.0,1048,40,702,2015-07-21 09:07:56,1,1
0,,,0.0,1048,40,702,2005-10-07 09:11:03,1,1
0,,,0.0,1048,40,702,1998-06-01 11:24:54,1,1
0,,,0.0,1048,40,702,2007-05-07 09:16:34,1,1
0,,,0.0,1048,39,702,2000-12-20 14:41:27,1,1
0,,,0.0,1048,39,702,2000-10-17 14:22:56,1,1
0,,,0.0,1048,39,702,1999-12-27 08:34:33,1,1
0,,,0.0,1048,39,702,1998-05-26 09:34:32,1,1
0,0.0,0.0,0.0,1048,39,702,2012-08-09 10:29:07,1,1
0,,,0.0,1048,39,702,2000-03-28 10:45:19,1,1
0,,,0.0,1048,39,702,2002-05-10 10:01:06,1,1
0,,,0.0,1048,39,702,1998-09-08 15:58:38,1,1
0,,,0.0,1048,39,702,2004-02-17 14:33:10,1,1
0,,,0.0,1048,39,702,2006-05-23 10:02:53,1,1
0,,,0.0,1048,39,702,2010-06-30 11:49:57,1,1
0,0.0,160.36,0.0,1048,39,702,2016-01-19 10:31:12,1,1
0,,,0.0,1048,39,702,2007-06-06 10:57:04,1,1
0,0.0,0.0,0.0,1048,39,702,2015-12-11 09:37:38,1,1
0,,64.85,0.0,1048,39,702,2000-04-10 10:59:07,1,1
0,,,0.0,1048,39,702,2006-09-19 09:34:40,1,1
0,,,0.0,1048,39,702,2001-07-23 10:15:21,1,1
0,0.0,0.0,0.0,1048,39,702,2012-03-12 10:05:10,1,1
0,,,0.0,1048,39,702,1998-04-09 12:45:39,1,1
0,,,0.0,1048,39,702,2002-06-11 08:22:45,1,1
0,0.0,0.0,0.0,1048,39,702,2012-04-16 11:23:02,1,1
0,,,0.0,1048,39,702,2001-06-12 08:57:44,1,1
0,,,0.0,1048,39,702,2000-10-16 08:59:35,1,1
0,,,0.0,1048,39,702,2005-12-05 11:52:15,1,1
0,,,0.0,1048,39,702,2002-10-07 09:52:43,1,1
0,,,0.0,1048,39,702,1998-08-31 09:21:07,1,1
0,,,0.0,1048,39,702,2004-09-07 08:58:42,1,1
0,,,0.0,1048,39,702,1999-04-06 10:21:48,1,1
0,,,0.0,1048,39,702,2004-10-07 11:24:01,1,1
0,0.0,0.0,0.0,1048,39,702,2015-11-23 12:42:55,1,1
0,,,0.0,1048,39,702,2001-07-17 08:14:05,1,1
0,,,0.0,1048,39,702,2003-08-12 10:22:42,1,1
0,,,0.0,1048,39,702,2006-08-14 14:17:19,1,1
0,,,0.0,1048,39,702,1998-03-09 15:53:11,1,1
0,,,0.0,1048,39,702,2007-01-18 08:48:45,1,1
0,,,0.0,1048,39,702,2009-06-09 15:42:22,1,1
0,,,0.0,1048,39,702,2004-08-31 14:40:50,1,1
0,,,0.0,1048,39,702,1998-04-14 11:03:03,1,1
0,,,0.0,1048,39,702,2008-12-26 22:44:46,1,1
0,,,0.0,1048,39,702,2004-02-03 10:28:53,1,1
0,,,0.0,1048,39,702,2008-04-23 14:29:57,1,1
0,0.0,0.0,0.0,1048,39,702,2011-08-30 12:48:19,1,1
0,,,0.0,1048,39,702,2006-08-14 14:17:19,1,1
0,,,0.0,1048,39,702,2007-06-06 10:57:44,1,1
0,,77.22,0.0,1048,39,702,2008-08-19 11:14:49,1,1
1,0.0,0.0,0.0,1048,39,702,2015-03-16 11:39:00,1,2
