providername,site_count,latitude,longitude,building,itin,building,l1,opendateiso
AARP Tax Aide,1,40.73054548227934,-74.00261226813663,238,,238,"""English, Spanish""",2019-01-29 00:00:00
MMCC,1,40.88617438601892,-73.84510662944348,1150,Non-CAA ITIN,1150,"""English, Spanish""",2019-01-11 00:00:00
Food Bank For New York City,1,40.846186142125525,-73.93762306696817,45,Non-CAA ITIN,45,"""English, Spanish""",2019-01-28 00:00:00
Food Bank For New York City,1,40.70130413244252,-73.98176181526577,228,Non-CAA ITIN,228,English,2019-01-28 00:00:00
Urban Upbound,1,40.745189638042966,-73.92590931000171,43-31,,43-31,"""English, Spanish""",2019-02-06 00:00:00
Grow Brooklyn,1,40.59982719350412,-73.94745000210673,2401,,2401,"""English, Spanish, Russian""",2019-01-22 00:00:00
Grow Brooklyn,1,40.65576192134303,-73.94458035788318,451,,451,English,2019-01-23 00:00:00
Food Bank For New York City,1,40.84622696084992,-73.8984901214957,1866,Non-CAA ITIN,1866,English,2019-01-28 00:00:00
Food Bank For New York City,1,40.699962821425096,-73.94844940068975,630,Non-CAA ITIN,630,English,2019-01-28 00:00:00
