site_name,city,state_senate_district,service_setting_taxonomy,service_taxonomy,serves_food,rank,dense_rank
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""athletic leagues""]",False,1,1
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""athletic leagues""]",False,1,2
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
Petrides High School,staten island,24.0,,"[""athletic leagues""]",False,1,3
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""athletic leagues""]",False,3,4
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""athletic leagues""]",False,2,5
Therapeutic services - 79 Precinct,brooklyn,25.0,,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",False,1,1
Therapeutic services - 79 Precinct,brooklyn,25.0,,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",False,1,1
Thurgood Marshall Academy for Learning and Social Change,new york,30.0,,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",False,3,2
Thurgood Marshall Academy for Learning and Social Change,new york,30.0,,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",False,3,2
Therapeutic services - 48 Precinct,bronx,33.0,,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",False,2,3
Therapeutic services - 48 Precinct,bronx,33.0,,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",False,2,3
IS 218 Beacon,brooklyn,19.0,,"[""recreational services""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""recreational services""]",False,1,1
Mc Kee High School,staten island,23.0,,"[""recreational services""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""recreational services""]",False,1,2
Petrides High School,staten island,24.0,,"[""recreational services""]",False,1,3
Petrides High School,staten island,24.0,,"[""recreational services""]",False,1,3
PAL Harlem Teen Center,new york,30.0,,"[""recreational services""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""recreational services""]",False,3,4
PAL Webster Teen Center,bronx,33.0,,"[""recreational services""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""recreational services""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""recreational services""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""recreational services""]",False,2,5
Therapeutic services - 79 Precinct,brooklyn,25.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",False,1,1
Therapeutic services - 79 Precinct,brooklyn,25.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",False,1,1
Thurgood Marshall Academy for Learning and Social Change,new york,30.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",False,3,2
Thurgood Marshall Academy for Learning and Social Change,new york,30.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",False,3,2
Therapeutic services - 48 Precinct,bronx,33.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",False,2,3
Therapeutic services - 48 Precinct,bronx,33.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",False,2,3
IS 218 Beacon,brooklyn,19.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,1,1
IS 218 Beacon,brooklyn,19.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,1,1
Mc Kee High School,staten island,23.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,1,2
Mc Kee High School,staten island,23.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,1,2
Petrides High School,staten island,24.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,1,3
Petrides High School,staten island,24.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,1,3
