truckstate,trailerstate,endcity,category,count,avg_value,total_value,max_value
NJ,NJ,Brooklyn,Standard,1,60000.0,60000,60000
NY,ME,MANHATTAN,Heavy,1,164380.0,164380,164380
NY,NY,Bronx,Standard,2,52050.0,104100,55000
IL,PA,,Standard,1,49000.0,49000,49000
NJ,ME,MASPETH,Standard,1,63300.0,63300,63300
PA,PA,New York,Standard,1,46500.0,46500,46500
IN,NY,,Standard,1,49000.0,49000,49000
NY,,MANHATTAN,Heavy,2,158400.0,316800,158400
NJ,ME,,Standard,1,41000.0,41000,41000
VT,ME,THE BRONX,Heavy,1,119000.0,119000,119000
NY,NY,,Standard,2,38475.0,76950,41950
MN,AL,,Standard,1,57000.0,57000,57000
NJ,NJ,,Standard,7,62083.71428571428,434586,98566
WA,WA,,Standard,1,36500.0,36500,36500
GA,GA,MANHATTAN,Standard,1,75000.0,75000,75000
IN,PA,,Standard,1,70000.0,70000,70000
GA,GA,BROOKLYN,Standard,1,56834.0,56834,56834
PA,NJ,BROOKLYN,Standard,1,78000.0,78000,78000
NJ,NJ,MANHATTAN,Heavy,3,126716.66666666667,380150,151400
PA,PA,,Standard,1,42000.0,42000,42000
CT,ME,BROOKLYN,Standard,1,79000.0,79000,79000
PA,PA,brooklyn,Standard,1,53080.0,53080,53080
PA,NJ,MANHATTAN,Heavy,2,114375.0,228750,117950
PA,PA,Queens,Standard,1,55000.0,55000,55000
NJ,NH,,Standard,1,45000.0,45000,45000
PA,PA,MANHATTAN,Standard,1,44197.0,44197,44197
IN,ON,,Standard,1,33000.0,33000,33000
NY,,Bronx,Standard,1,27500.0,27500,27500
NY,,BROOKLYN,Heavy,1,156664.0,156664,156664
GA,GA,Brooklyn,Standard,1,47000.0,47000,47000
PA,PA,Staten Island,Standard,1,67000.0,67000,67000
PA,PA,Brooklyn,Standard,1,53080.0,53080,53080
IA,PA,,Standard,1,32000.0,32000,32000
VT,ME,,Standard,1,40000.0,40000,40000
NY,NY,New York,Standard,1,65100.0,65100,65100
GA,GA,New York,Standard,1,24350.0,24350,24350
GA,GA,Queens,Standard,1,34900.0,34900,34900
NJ,NJ,BROOKLYN,Heavy,1,161660.0,161660,161660
