city,total,count,average
New York,10909734,30,363657.8
Bronx,1876035,24,78168.125
Flushing,965802,3,321934.0
Long Island City,550504,2,275252.0
Brooklyn,548556,5,109711.2
Staten Island,115176,2,57588.0
