class,subcategor,total,average,count
PARK,Flagship Park,94.1,94.1,1
PARK,Neighborhood Plgd,12.459999999999999,1.7799999999999998,7
PARK,JOP,5.177,1.0353999999999999,5
PARK,Greenthumb,0.9129999999999999,0.15216666666666664,6
PARK,Large Park,427.453,71.24216666666666,6
PARK,Undeveloped,36.691,36.691,1
PARK,Neighborhood Park,7.529,3.7645,2
PARK,To Be Determined,0.494,0.494,1
PARK,REDEC,42.583,42.583,1
PARK,Sitting Area/Triangle/Mall,4.149,0.3771818181818182,11
PARK,EXWY,202.647,202.647,1
PARK,,0.604,0.12079999999999999,5
PLGD,Neighborhood Plgd,2.045,0.6816666666666666,3
