lotid,lotid,area,total_tonnage,originaloverride,hours,total_hours_per_lot
10285,10285,39.0,0.25,0,6.5,6.5
207691,207691,0.0,0.0,0,3.5,3.5
51402,51402,39.0,0.0,0,6.5,13.0
112453,112453,39.0,16.2,0,1.0,1.0
36588,36588,39.0,7.0,0,6.5,6.5
8132,8132,,308.2,0,4.0,4.0
209541,209541,0.0,9.41,0,6.5,6.5
163786,163786,39.0,5.0,0,6.5,6.5
107635,107635,39.0,25.0,0,5.5,5.5
148982,148982,39.0,5.0,0,6.5,6.5
49531,49531,40.0,3.2,0,6.5,6.5
13967,13967,40.0,2.91,0,5.5,5.5
94024,94024,39.0,0.0,0,6.5,6.5
32165,32165,,598.22,0,2.5,2.5
75266,75266,39.0,194.1,0,3.5,3.5
134136,134136,39.0,35.89,0,6.5,6.5
28725,28725,40.0,1.47,0,6.5,6.5
130151,130151,40.0,299.93,0,6.5,6.5
185409,185409,0.0,0.2,0,4.0,4.0
167219,167219,,34.5,0,4.5,4.5
101001,101001,40.0,152.9,0,5.5,11.0
122541,122541,39.0,77.83,0,5.5,5.5
182954,182954,0.0,0.02,0,3.5,3.5
134747,134747,39.0,85.0,0,6.5,6.5
182361,182361,0.0,1.44,0,5.5,5.5
79234,79234,40.0,0.25,0,2.0,2.0
126197,126197,39.0,8.0,0,6.5,6.5
210567,210567,0.0,0.03,0,6.5,6.5
41841,41841,39.0,0.0,0,0.5,0.5
152654,152654,39.0,10.0,0,6.5,6.5
177491,177491,0.0,2.6,0,4.5,4.5
147281,147281,39.0,15.0,0,6.5,6.5
204033,204033,0.0,0.0,1,6.5,6.5
66271,66271,39.0,0.0,0,6.5,6.5
106434,106434,,45.5,0,2.0,2.0
3501,3501,39.0,17.32,0,6.5,6.5
56436,56436,,47.4,0,2.0,2.0
45939,45939,39.0,0.0,0,6.5,6.5
211158,211158,0.0,1.49,0,6.5,6.5
80421,80421,39.0,2.0,0,3.0,3.0
109674,109674,39.0,2.1,0,2.5,2.5
131159,131159,39.0,3.0,0,5.5,5.5
7338,7338,39.0,2.0,0,6.5,6.5
67726,67726,39.0,0.5,0,6.5,6.5
181903,181903,0.0,0.65,0,6.5,6.5
111750,111750,,448.34,0,5.5,5.5
161575,161575,39.0,2.0,0,6.5,6.5
31105,31105,39.0,0.0,0,3.5,3.5
40251,40251,39.0,2.42,0,6.5,13.0
75626,75626,39.0,1.5,0,3.5,3.5
122541,122541,39.0,77.83,0,6.5,6.5
