contractcode,t2_contractcode,personid,t3_personid,operatorlastname,t4_operatorlastname,addlocationinfo1,t5_addlocationinfo1,total_amount,avg_amount,max_amount,min_amount,record_count
r0220009,r0220009,6506.0,6506.0,"NOONAN, WILLIAM R22-TP","NOONAN, WILLIAM R22-TP","HART BLVD, & REVERE ST","HART BLVD, & REVERE ST",0.0,0.0,0.0,0.0,2
m0050062,m0050062,4319.0,4319.0,"STATUE CRUISES, LLC  M5-E-M","STATUE CRUISES, LLC  M5-E-M",3 LANDING SLIPS AT,3 LANDING SLIPS AT,416666.74,208333.37,208333.37,208333.37,2
r0220007,r0220007,6081.0,6081.0,"NOONAN, WILLIAM R22-TP","NOONAN, WILLIAM R22-TP",HART BLVD & REVERE ST,HART BLVD & REVERE ST,1303.46,651.73,651.73,651.73,2
b3930036,b3930036,1608.0,1608.0,"UNITED SNACKS, INC.   B3930036","UNITED SNACKS, INC.   B3930036",EMMONS AVE. FROM,EMMONS AVE. FROM,0.0,0.0,0.0,0.0,2
b0280014,b0280014,3200.0,3200.0,AMERICAN GOLF  B28-H-GC,AMERICAN GOLF  B28-H-GC,DYKER BEACH GOLF,DYKER BEACH GOLF,799992.0,66666.0,66666.0,66666.0,12
