green_power_onsite_and_offsite,electricity_use_generated_3,last_modified_date_electric,construction_status,electricity_use_grid_purchase_3,indirect_ghg_emissions,water_use_intensity_all_water,rank,dense_rank
0,Not Available,04/27/2020 05:07 PM EDT,Existing,10320540,5.3,4.78,4,1
0,Not Available,07/20/2020 06:08 PM EDT,Existing,14617310,5.4,13.89,3,7
0,Not Available,04/22/2020 04:36 PM EDT,Existing,17703040,5.7,Not Available,2,8
0,Not Available,09/24/2020 03:06 PM EDT,Existing,2951108,5.1,6.67,5,13
0,Not Available,04/29/2020 01:07 PM EDT,Existing,5145090,7.2,19.02,1,33
