bin,total_initial_cost,block,block
1090681,110000.0,646,646
1085962,70000.0,1089,1089
3117411,10000.0,5111,5111
1015680,0.0,829,829
1011843,18000.0,632,632
3340150,20000.0,684,684
1057284,5000.0,1892,1892
3020427,95000.0,961,961
5053638,50000.0,3699,3699
4087555,1000.0,3611,3611
4238813,5250.0,11086,11086
1017206,68250.0,867,867
3404524,10000.0,5309,5309
2128608,216750.0,2582,2582
1035071,101372.6,1273,1273
1009861,6000.0,585,585
2129590,10000.0,5933,5933
3049850,7000.0,1786,1786
3418229,37500.0,1142,1142
2077929,10000.0,5469,5469
1031957,30000.0,1211,1211
3418117,4000.0,1390,1390
4617247,1150.0,14260,14260
2012452,6000.0,3087,3087
1033197,100000.0,1234,1234
4570298,158730.0,1549,1549
3342331,114876.0,3357,3357
3425954,100.0,2411,2411
1041224,1000.0,1382,1382
1076258,77700.0,1261,1261
3429687,0.0,424,424
3022472,500.0,1015,1015
2022550,999758.48,3641,3641
3426514,32500.0,2238,2238
1014262,200.0,778,778
4208839,5000.0,9756,9756
1034248,8000.0,1261,1261
1033968,7700.0,1249,1249
1007573,20000.0,498,498
3329628,1800.0,1720,1720
1091742,203626.0,500,500
5025251,12000.0,1068,1068
1035741,1.0,1290,1290
4624969,0.0,15572,15572
3179500,6000.0,6705,6705
4623682,1000.0,85,85
2002572,150000.0,2449,2449
1087142,14700.0,1014,1014
3324292,1574865.0,4355,4355
4050630,162500.0,2110,2110
