other_income_units,_2_br_units,prevailing_wage_status,project_id,neighborhood_tabulation_area,total_units,extended_affordability_status,rank,dense_rank
,1.0,Non Prevailing Wage,71989,BK0402,3,False,4,2
,4.0,Non Prevailing Wage,75729,BK0702,4,False,5,3
,,Non Prevailing Wage,75729,BK0702,4,False,5,3
,2.0,Non Prevailing Wage,65412,BK0502,4,False,2,3
,2.0,Non Prevailing Wage,65412,BK0502,4,False,2,3
,2.0,Non Prevailing Wage,65412,BK0502,4,False,2,3
,4.0,Non Prevailing Wage,73316,BX0401,5,False,3,4
,4.0,Non Prevailing Wage,75729,BK0702,6,False,3,5
,,Non Prevailing Wage,75729,BK0702,6,False,3,5
,1.0,Non Prevailing Wage,71989,BK0402,6,False,3,5
,4.0,Non Prevailing Wage,75729,BK0702,8,False,1,6
,,Non Prevailing Wage,75729,BK0702,8,False,1,6
,2.0,Non Prevailing Wage,55080,BK0402,8,False,1,6
,1.0,Non Prevailing Wage,71989,BK0402,8,False,1,6
,1.0,Non Prevailing Wage,76408,BX0402,8,False,1,6
,3.0,Non Prevailing Wage,77134,BK1703,9,False,1,7
,4.0,Non Prevailing Wage,74488,MN0703,10,True,3,8
,,Non Prevailing Wage,74488,MN0703,10,True,3,8
,4.0,Non Prevailing Wage,73316,BX0401,11,False,2,9
,36.0,Non Prevailing Wage,74483,BX0302,15,True,5,13
,36.0,Non Prevailing Wage,74483,BX0302,15,True,5,13
,36.0,Non Prevailing Wage,74483,BX0302,15,True,5,13
,4.0,Non Prevailing Wage,75173,BX1202,15,True,1,13
,8.0,Non Prevailing Wage,75173,BX1202,15,True,1,13
,8.0,Non Prevailing Wage,75173,BX1202,15,True,1,13
,4.0,Non Prevailing Wage,75173,BX1202,15,True,1,13
,4.0,Non Prevailing Wage,75173,BX1202,15,True,1,13
,4.0,Non Prevailing Wage,75173,BX1202,15,True,1,13
,4.0,Non Prevailing Wage,75173,BX1202,15,True,1,13
,,Non Prevailing Wage,75173,BX1202,15,True,1,13
,,Non Prevailing Wage,75173,BX1202,15,True,1,13
,4.0,Non Prevailing Wage,74488,MN0703,19,True,1,14
,,Non Prevailing Wage,74488,MN0703,19,True,1,14
,36.0,Non Prevailing Wage,74483,BX0302,20,True,3,15
,36.0,Non Prevailing Wage,74483,BX0302,20,True,3,15
,26.0,Non Prevailing Wage,47863,BX0101,22,False,2,16
,,Non Prevailing Wage,76333,BX0904,24,False,1,17
,13.0,Non Prevailing Wage,76302,BX1203,25,False,1,18
,8.0,Non Prevailing Wage,76321,QN1401,26,False,1,19
,3.0,Non Prevailing Wage,77185,QN0201,34,False,2,20
,3.0,Non Prevailing Wage,76431,BK1702,36,False,1,21
,,Non Prevailing Wage,77028,BX0502,42,False,2,22
,26.0,Non Prevailing Wage,47863,BX0101,42,False,1,22
,,Non Prevailing Wage,76413,BX0702,44,False,1,23
,36.0,Non Prevailing Wage,74483,BX0302,46,True,2,24
,36.0,Non Prevailing Wage,74483,BX0302,48,True,1,25
1.0,23.0,Non Prevailing Wage,74296,MN1002,48,False,1,25
,48.0,Non Prevailing Wage,76710,BK0502,50,False,1,26
,,Non Prevailing Wage,77170,MN1001,56,False,1,27
,10.0,Non Prevailing Wage,77145,QN0105,63,False,1,28
,11.0,Non Prevailing Wage,77143,QN0103,68,False,1,29
,11.0,Non Prevailing Wage,76728,BK0202,73,False,1,30
,8.0,Non Prevailing Wage,77034,BX0401,75,False,1,31
1.0,54.0,Non Prevailing Wage,76097,BX0403,98,False,1,32
,95.0,Non Prevailing Wage,74737,BX0303,107,True,2,33
1.0,,Non Prevailing Wage,72943,BX0502,111,False,1,34
,,Non Prevailing Wage,75421,SI0107,122,False,1,35
,,Non Prevailing Wage,75421,SI0107,122,False,1,35
,,Non Prevailing Wage,75421,SI0107,122,False,1,35
,48.0,Non Prevailing Wage,75421,SI0107,122,False,1,35
,,Non Prevailing Wage,75421,SI0107,122,False,1,35
,,Non Prevailing Wage,75421,SI0107,122,False,1,35
,,Non Prevailing Wage,75421,SI0107,122,False,1,35
,,Non Prevailing Wage,75421,SI0107,122,False,1,35
,48.0,Non Prevailing Wage,75421,SI0107,122,False,1,35
,,Non Prevailing Wage,75421,SI0107,122,False,1,35
,,Non Prevailing Wage,75421,SI0107,122,False,1,35
,,Non Prevailing Wage,75421,SI0107,122,False,1,35
,95.0,Non Prevailing Wage,74737,BX0303,169,True,1,36
,139.0,Non Prevailing Wage,74974,MN0302,219,False,1,37
,13.0,Non Prevailing Wage,76341,QN0201,240,False,1,38
