k_12_school_gross_floor_area_ft,multifamily_housing_resident_population_type,electricity_use_grid_purchase_kbtu,municipally_supplied_potable_water_indoor_use_kgal,national_median_energy_star_score,electricity_use_grid_purchase_kwh,total_ghg_emissions_intensity_kgco2e_ft
Not Available,Not Available,29241691.8,6028.5,50,8570248.6,7.3
Not Available,Not Available,16500913.5,5659.2,50,4836140.5,6.5
Not Available,Not Available,34978224.4,6044,50,10251529.9,5.7
25715,Not Available,811783.1,8290.9,50,237920.0,5.5
116400,Not Available,1861587.2,427.1,50,545599.9,5.3
