code1,phone_number,academicopportunities1,total,count,average
NO CODE,718-667-3222,CTE program(s) in: Scientific Research and Engineering,0.970000029,1,0.970000029
NO CODE,718-667-3222,"Many Advanced Placement (AP) courses and electives, especially in math and science",0.970000029,1,0.970000029
M64A,212-524-4360,Free college courses at neighboring universities,0.970000029,1,0.970000029
R01R,718-370-6900,"4-year Advisory for all students to enrich communication skills, social proficiency, and global competence.",0.949999988,1,0.949999988
A21A,212-362-2015,Annual digital portfolio development and presentation,0.939999998,1,0.939999998
Q16A,718-279-6500,"DaVinci Science and Math Institute, Mentor Law and Humanities Institute, Journalism and Media Studies, Performing Dance",0.930000007,1,0.930000007
Q30J,718-392-3330,Performance/Portfolio-based assessment required in sophomore and senior years,0.930000007,1,0.930000007
Q09A,718-454-4957,iLearnNYC: Program for expanded online coursework and self-paced learning,0.910000026,1,0.910000026
K04X,718-771-4793,"Downstate Medical Program, Urban Advantage, Participation in Government, Introduction to Law, Science",0.910000026,1,0.910000026
Q31J,718-472-5671,"Students have a myriad of academic opportunities at Wagner including but not limited to art classes which include Drawing, Drama, and Digital Arts.",0.910000026,1,0.910000026
Q24A,718-658-5407,Honors Pre-Med provides STEM classes built on science research & exploration; Health Sciences offers CTE Nursing Assistants as well as Sports Medicine,0.899999976,1,0.899999976
M05R,212-505-0143,Internships for all seniors; artists-in-residence; project-based learning in academic classes; daily advisory; daily reading period,0.899999976,1,0.899999976
X89A,718-601-0391,WVHS students have the opportunity to start taking college courses in the 10th grade through the College Now Program at Lehman College.,0.899999976,1,0.899999976
X11X,718-292-2211,iLearnNYC: Program for expanded online coursework and self-paced learning,0.899999976,1,0.899999976
Q03A,718-271-3602,Students complete Performance-based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,0.899999976,1,0.899999976
Y65A,718-733-3080,CTE program(s) in: Architecture and Construction,0.860000014,1,0.860000014
M99A,212-929-4433,"Science and Society, Violence and Peace, the History of Math, Poetry Coffeehouse; College Courses, College Prep Workshops, SAT Prep",0.850000024,1,0.850000024
L53A,718-277-1069,Performance major: Acting-movement and voice; Students explore theatrical literature and work on ensemble building and public speaking skills,0.839999974,1,0.839999974
X77R,718-991-4634,Double literacy and mathematics classes,0.829999983,1,0.829999983
M04A,212-543-4460,"A full performing arts conservatory education with college preparatory course work in English, Social Studies, Math, Science",0.810000002,1,0.810000002
X38A,718-329-2902,"Theater Arts Courses: Performance, Set Design, Costume Design, Theater Business, Chorus, and Playwriting",0.810000002,1,0.810000002
