dep_boiler_application,building_manager,owner,borough_block_lot,city_council_district,total,count,average
CB053902X,ONE FIFTH AVE APT/INSIGNIA RESIDENT,ONE FIFTH AVE APT.CORP. c/o ROSE ASSOC.INC.,1005500022,1,400,2,200.0
CA065176H,CHARLES H. GREENTHAL,CHARLES H. GREENTHAL MGMT./VICTOR J. KAVY,1011380001,6,376,1,376.0
CB195606X,RANDAL HSE. OWNERS % AKAM ASSOC.,RANDAL HSE. OWNERS %AKAM ASSOC.,1005617501,2,235,1,235.0
CA037577K,CHURCH MANAGEMENT,CHURCH MANAGEMENT,1008687502,3,229,1,229.0
CA030378X,NEW BEDFORD MGMT,201 W. 21ST STREET TENANTS CORP.,1007710038,3,133,1,133.0
CA128097P,110 W.40 JOINT VENTURE,"110 W.40 JOINT VEN%ADAMS & CO.,LLC",1008150039,3,114,1,114.0
CA112793M,77 PARK AVE. CONDOMINIUM,77 PARK AVE CONDO C/O CHARLES H. GREENTHAL MGMT.,1008947501,4,106,1,106.0
CA282473P,MOCAL ENTERPRISES INC.,"MOCAL ENTERPRISES, INC.",1008310064,3,100,1,100.0
CA306493X,130 WEST 57 STREET CO,130 WEST 57 STREET CO.LLC,1010090046,4,85,1,85.0
CA119780P,R.G.A. AGENT/38 WEST 32 ASSOCIATES,ROOSEVELT LEE 38 LLC,1008330018,3,76,1,76.0
CA377586N,CARL S YOUNG,"YOUNG,CARL S.",1022020033,10,72,1,72.0
CA166189J,"CHELSEA 25, LLC","CHELSEA 25, LLC",1007750017,3,69,1,69.0
CA213972K,JEFFREY MANAGEMENT,EXTELL DEVELOPMENT COMPANY,1001710001,1,68,1,68.0
CA528585R,"LEIST,FRED","LEIST, FRED",2028070070,14,67,1,67.0
CA198998X,THREE O REALTY LLC,THREE O REALTY LLC,1010127501,3,58,1,58.0
CA271072K,MIRANDA REALTY ASSOC.,MIRANDA REALTY ASSOC.,1007790049,3,46,1,46.0
CA298992N,CAPITAL BUILDING LOFT CORP.,RUDD RLTY MGMT.CORP/MARK McCONNELL,1007750060,3,43,1,43.0
CA007870M,MOSHE GLICKMAN,WEINREB MANAGEMENT LLC,1011620141,6,37,1,37.0
CA060877H,MURRAY HILL OWNERS CO.,MURRAY HILL OWNERS CO.,1008910023,3,35,1,35.0
CA028979Z,ONE HUDSON PARK INC,1 HUDSON PK INC/ANDREW BL. CORP.,1001440001,1,33,1,33.0
CA037584Z,55 PARK TENANTS CORP.,55 PARK TENANTS CORP.%BLUE STONE RESID. MGMT,1008930002,3,33,1,33.0
CA065885K,T.U.C. MANAGEMENT CO.INC.,T.U.C. MGMT. CO. INC.TIM O'KEEFE,1008910062,4,31,1,31.0
CA199594Y,470P.A.ASSOC/S.L.GREEN MG,470P.A.ASSOC/S.L.GREEN MG,1008610044,2,31,1,31.0
CA007490K,"TUR,JOSE",JOSE TUR,1021570081,10,30,1,30.0
CA349787L,WASSERSTEIN BROS,WASSERSTEIN BROS.,1007600055,3,28,1,28.0
CA309988L,12 E 12 STREET CONDO,12 E. 12TH STREET CORP. /ANDAEWS,1005697501,2,27,1,27.0
CA214789R,LEE KWAN CHAH,"EBM DEVELOPMENT CO.,LTD.",1010120032,3,25,1,25.0
CA020979M,BROCROS REALTY,BROCROS REALTY,1005110016,1,24,1,24.0
CA215582Y,MARTY MYERS/EDWIN,BUCHBINDER & WARREN,1007977502,3,23,1,23.0
CA330388Y,227 TENANTS CORP.,227 TENANTS/SANDBERG MGT.CORP.,1011960035,6,22,1,22.0
CA269084P,ESTATE OF EDWIN S. LOWE/CHASE MAN,WG 27th STREET LLC C/O THE WITKOFF GROUP,1008290016,3,22,1,22.0
CA086251L,HELMSLEY SPEAR INC.,ABS PARTNERS REAL ESTATE LLC.,1007870025,3,19,1,19.0
CA066265Y,CHARLES STREET ASSOCIATES,CHAS.ST.ASSOC/MARTIN MGMT,1006110045,3,19,1,19.0
CA010192J,JENEL MANAGMENT,16 E. 40 REALTY LLC C/O QUARTZ RLTY.,1008690064,3,18,1,18.0
CA256970R,MANCHESTER WEST 36 LLC,Manchester West 36 LLC-ATT: FARAJ SROUR,1007860013,3,15,1,15.0
CB134107L,29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,29 W. 36TH ST. LLC %BERSTEIN R.E. CO.,1008380024,3,14,1,14.0
CA580586R,GVA WILLIAMS REAL ESTATE CO.,GVA WILLIAMS REAL ESTATE CO.,1008010014,3,13,1,13.0
CB161703X,PR 30 LLC,PR 30 LLC,1007540028,3,12,1,12.0
CB157908X,MARTIN BAUMRIND,MARTIN BAUMRIND,1010750044,3,10,1,10.0
CA342190R,119 FIFTH AVE.CORP.,119 FIFTH AVE. CORP.,1008480001,2,9,1,9.0
CB126407J,WEST 63 EMPIRE ASSOCIATES LLC,WEST 63 EMPIRE ASSOCIATES LLC,1011150057,6,7,1,7.0
CA265489P,162 ASSOCIATES LLCC/O MUTRRY HILL,162 ASSOCATES LLC c/o ABS PARTNERS RE LLC,1008230037,3,7,1,7.0
CA475970R,ENF. 11/20/92,HOLD BOUNCED CHECK,1001450012,1,6,1,6.0
CA271292M,OUR LADY OF POMPEI R.C.CHURCH,OUR LADY OF POMPEI R.C.CH,1005860020,3,4,1,4.0
CA223793Y,REAL ESTATE INDUSTRIAL INC.,REAL ESTATE INDUSTRIAL INC,1010770043,3,3,1,3.0
CB185502M,ELO EQUITIES LLC,ELO EQUITIES LLC,1009990009,3,2,1,2.0
CB008208H,DEZER PROPERTIES,DEZER PROPERTIES,1008220015,3,1,1,1.0
