property_id_1,total_source_energy_use_adjusted,property_id_1,address_1,address_1
6198641,,6198641,300 Vanderbilt Avenue,300 Vanderbilt Avenue
2809319,4309152.3,2809319,2446 University Avenue,2446 University Avenue
2936772,4166399.6,2936772,134 Ocean Parkway,134 Ocean Parkway
2731076,,2731076,165-01 Chapin Parkway,165-01 Chapin Parkway
3113637,64819256.4,3113637,51-01 Grand Ave,51-01 Grand Ave
2646028,117258339.9,2646028,102-01 66th Road,102-01 66th Road
6222514,6188832.6,6222514,2240 Walton Ave,2240 Walton Ave
2710362,20881262.6,2710362,119 West 57th Street,119 West 57th Street
2942054,,2942054,380 EAST 18 ST,380 EAST 18 ST
2941942,,2941942,105 West 55 St.,105 West 55 St.
2703161,13047176.0,2703161,40 West 37th Street,40 West 37th Street
6151465,170333395.3,6151465,85 Broad Street,85 Broad Street
4407826,23277606.3,4407826,130 Fifth Avenue,130 Fifth Avenue
6236828,,6236828,380 BROADWAY,380 BROADWAY
2674887,53536325.3,2674887,1410 Broadway,1410 Broadway
6212669,7224795.1,6212669,2357 Prospect Ave.,2357 Prospect Ave.
6245205,21729392.9,6245205,209 (211) East 43rd Street,209 (211) East 43rd Street
2640850,65485166.6,2640850,525 Seventh Avenue,525 Seventh Avenue
5237199,,5237199,34-24 Hunters Point Avenue,34-24 Hunters Point Avenue
6299476,,6299476,1301 Surf Avenue,1301 Surf Avenue
2587536,,2587536,28 Second Ave,28 Second Ave
2649752,,2649752,508-516 West 26th Street,508-516 West 26th Street
3488156,16360987.4,3488156,1864 85 st.,1864 85 st.
2975830,16673668.8,2975830,600 Burke Ave,600 Burke Ave
4043349,,4043349,665 Fifth Ave,665 Fifth Ave
3524382,10092080.7,3524382,1701 W 3rd Street,1701 W 3rd Street
5793733,8832834.7,5793733,211 E 13th St,211 E 13th St
4041531,33610279.6,4041531,210 Amsterdam Avenue,210 Amsterdam Avenue
3382694,9430466.2,3382694,975 Georgia Ave.,975 Georgia Ave.
5078536,,5078536,43-01 22nd street,43-01 22nd street
2942073,14303773.9,2942073,777 East 31 St,777 East 31 St
3108824,19687394.5,3108824,1295 Madison Avenue,1295 Madison Avenue
2702022,127179405.8,2702022,40 Worth Street,40 Worth Street
1819837,,1819837,15-30 Petracca Place,15-30 Petracca Place
6190886,8682210.0,6190886,2753 Ocean Avenue,2753 Ocean Avenue
6276753,,6276753,114 East 85th Street,114 East 85th Street
2989315,15058990.2,2989315,8801 Shore Road,8801 Shore Road
2665684,19688464.2,2665684,815 Second Avenue,815 Second Avenue
5766730,,5766730,1901 Ocean Parkway,1901 Ocean Parkway
4401675,167814181.8,4401675,250 West 57th Street,250 West 57th Street
2664118,,2664118,425 East 58th Street,425 East 58th Street
6128972,,6128972,99-52 66 Road,99-52 66 Road
6182209,3454514.6,6182209,24-41 31st St,24-41 31st St
6223345,,6223345,116 West Houston St.,116 West Houston St.
6011246,3275487.4,6011246,95 West 162nd Street,95 West 162nd Street
2947162,8683743.6,2947162,856 Quincy Street,856 Quincy Street
3117707,15395788.7,3117707,117 West 70th St,117 West 70th St
2817671,15181110.4,2817671,2766 university avenue,2766 university avenue
2786510,5361349.1,2786510,1530-1532 Townsend Ave,1530-1532 Townsend Ave
4401809,510542727.59999996,4401809,60 East 42nd Street,60 East 42nd Street
