rangea,school_year,category,count,avg_value,total_value,max_value
1251-1500,2016 - 17,low incidents,1,4.0,4.0,4.0
251-500,2016 - 17,low incidents,28,1.9090909090909092,21.0,5.0
1751-2000,2016 - 17,medium incidents,1,20.0,20.0,20.0
751-1000,2016 - 17,medium incidents,1,7.0,7.0,7.0
1-250,2016 - 17,low incidents,22,1.5714285714285714,11.0,5.0
1001-1250,2016 - 17,low incidents,4,0.0,0.0,0.0
1751-2000,2016 - 17,low incidents,1,4.0,4.0,4.0
251-500,2016 - 17,medium incidents,1,6.0,6.0,6.0
751-1000,2016 - 17,high incidents,1,23.0,23.0,23.0
2001-2500,2016 - 17,high incidents,1,50.0,50.0,50.0
751-1000,2016 - 17,low incidents,10,0.8,4.0,1.0
501-750,2016 - 17,low incidents,23,1.3571428571428572,19.0,5.0
,2016 - 17,low incidents,1,,,
