license_nbr,issuance,app_status_date,business_name,lic_status,city_council_district,cb,app_sq_ft
2014465-DCA,Pending Review,2020-05-28 00:00:00,PATRICIAS MORRIS PARK CORP.,Inactive,13,Review Period Expired,154
2021429-DCA,Issued,2019-04-03 00:00:00,ONE MELON LLC,Active,3,Recommend Approval,420
2051482-DCA,Pending Review,2020-02-27 00:00:00,HONEYBRAINS LAFAYETTE LLC,Inactive,1,Review Period Expired,240
2060235-DCA,Pending Review,2021-10-07 00:00:00,"HASHEM MELECH, INC",Inactive,24,Pending Review,508
2059550-DCA,Pending Review,2020-01-21 00:00:00,SWEET CHICK FLATBUSH LLC,Inactive,35,Review Period Expired,328
1223566-DCA,Pending Review,2019-10-22 00:00:00,"CAFE 71, INC.",Inactive,6,Pending Review,288
1385967-DCA,Pending Review,2020-05-28 00:00:00,"TAPPO, INC.",Inactive,3,Review Period Expired,140
1347915-DCA,Pending Review,2020-06-16 00:00:00,VIDA MEXICANA INC.,Inactive,10,Pending Review,438
2041410-DCA,Pending Review,2020-06-17 00:00:00,NEW YORK BURGER 10th AVE INC.,Inactive,3,Pending Review,762
1454646-DCA,Pending Review,2020-01-22 00:00:00,PQ 933 BROADWAY INC.,Inactive,2,Recommend Approval,126
2058401-DCA,Pending Review,2020-06-18 00:00:00,3713 RIVERDALE REST CORP.,Inactive,11,Review Period Expired,140
1072629-DCA,Pending Review,2020-03-04 00:00:00,"LUNELLA RISTORANTE, INC.",Inactive,1,Review Period Expired,110
1305734-DCA,Pending Review,2020-06-18 00:00:00,POLLOS MARIO WOODHAVEN CORP.,Inactive,30,Pending Review,412
1283643-DCA,Pending Review,2019-11-26 00:00:00,JPS VENTURES INC.,Inactive,6,Pending Review,224
1412892-DCA,Pending Review,2019-09-23 00:00:00,120 U REST. LLC,Inactive,2,Review Period Expired,292
1428232-DCA,Pending Review,2020-03-11 00:00:00,SOUTH LAKE HOSPITALITY GROUP INC.,Inactive,7,Review Period Expired,180
