property_id,property_name,national_median_source_energy,source_energy_use_adjusted,national_median_site_energy,source_eui_adjusted_to_current
2788854,441 Ocean Avenue Associates,13759802.1,15467481.9,10025473,134.1
2831137,OCEAN HILL-BROWNSVILLE,15740385.8,22001318.3,10867206.5,173.1
5987001,210 East 58th Street,12812338.7,16117068.5,7310266.9,178.2
2546474,The Nightingale Bamford School,19321416.6,20772735.6,8269630.1,161.2
5871315,1250 67th Street and 1270 67th Street Norwegian Christian Home,3734014.8,Not Available,2717121.2,Not Available
5934926,1112-1114 Gerard Ave,6540485.2,7634082,4669162.8,138.8
6147837,166 Montague St - 30023,7292020.7,Not Available,2322299.3,Not Available
5990152,501 10 Avenue,23627900.5,32696199.1,20646865.1,124.3
6075359,Sun Sun Group : 1635 Lexington Ave,7172147.7,9824146,2892455.4,177.3
2640766,37-60 88th Street,16878759.8,18711291.9,9917439.4,170.1
4836183,Gilman: 461 AUDUBON AVE,8250091,9586291.2,6330926,164.9
4910138,Domen Holding Co,7630121.5,5479538.3,5751277.4,104.3
5936256,45-40 Vernon Boulevard,5213048,Not Available,1660206.2,Not Available
6011145,148 Madison Avenue,19293028.3,10537132.4,6505396.9,118.4
6038982,Prime Property Management of NY LLC  88-34 161 Street,9309695.4,7415907.7,7631081.9,89.2
6128948,Howard,36229327.2,5378896.8,11538000.9,17.9
6202292,STB044003 St Barnabas Parking 4400 3rd Ave,Not Available,Not Available,Not Available,Not Available
3128121,MORRIS I/MORRIS II/MORRISANIA,219911818.6,226827776.7,226941370.9,188.6
3128121,MORRIS I/MORRIS II/MORRISANIA,219911818.6,226827776.7,209441003.2,107.2
4399380,Residence Inn by Marriott,21677287.5,24072350.6,9364436.5,250.8
4474028,SHEEPSHEAD BAY/NOSTRAND CAMPUS,305022055.9,446210385.7,219508116,212.1
2686404,Treeline West LLC 177 Livingston St,22821846.1,19262914.6,9380766.9,216.4
5984812,Metropolitan Homes: 2100 Bedford,10375845.4,1951775.3,3304409,22.4
6022240,Brooklyn Tennis & Sports Club,10452231.1,Not Available,5504360.2,Not Available
4339617,Towne Partners LLC,8125988.4,Not Available,5079742.3,Not Available
3531878,Simone: 1250 Waters Place,180959150.5,237055306.3,81324290.8,423.3
4473906,DOUGLASS I/DOUGLASS II CAMPUS,319190684.8,345128870.7,220458494.5,155.3
4473906,DOUGLASS I/DOUGLASS II CAMPUS,319190684.8,345128870.7,303991143.6,91.2
4940492,ZARA - 148-15 Lowe Court,6358506,7820848.5,4992215.7,152.5
5985498,KWM099116 99-11 60th Ave,22639189.1,15111022,7209932,86.5
2831082,JOHNSON/JEFFERSON,420479365.8,237234154.7,148292812.6,86
2831082,JOHNSON/JEFFERSON,420479365.8,237234154.7,283916960.4,199.3
3239928,Alwayne Construction Corp,7473446.9,Not Available,2959812.3,Not Available
4369079,ABC REALTY 321 EAST 45TH ST,9826621,10705775.2,7416094.9,169.9
5077287,New York Presbyterian Brooklyn Methodist Hospital,450052164.3,364737171.1,219109471.4,444
5077287,New York Presbyterian Brooklyn Methodist Hospital,450052164.3,364737171.1,135677713.7,328.1
5951022,"Gadol 45 Owner, LLC",62760579.1,Not Available,26458943.8,Not Available
6212628,240 Kent  Avenue,11349015.2,6054910.1,6173657.7,106.4
2815138,The General Society Building,11450072.7,1558086.8,3779070.2,23.2
2684923,Clipper - 1350 - 1372 New York Ave,58661156.2,57912715.6,36803364.1,140.5
5934876,"DECATUR ENTERPRISE, LLC",7154013.8,3015391.1,2761902.2,49.6
6075346,Taube Management Realty : 125 Oceana Drive East,19059666.6,17094410.1,10211170.6,99.4
4917102,GP Associates,9745488.8,5775353.5,6979324.4,72.7
5934499,1625-1631 Fulton Avenue,10420524.7,3717856.4,4721667.9,42.5
3226946,Simone: 1200 Waters Place,111631907.9,245039145.3,38704043.9,875.1
4473965,MORRIS I/MORRIS II/MORRISANIA CAMPUS,323531693.2,398833445,226941370.9,188.6
4473965,MORRIS I/MORRIS II/MORRISANIA CAMPUS,323531693.2,398833445,209441003.2,107.2
4919368,1420 Gateway,8412286.5,3582336.7,7366370.9,50.4
5990147,1148 Metropolitan Avenue,8285926.2,7374881.9,6123121.3,70.6
6075349,Sun Sun Group : 467 Keap Street,8520912.5,4208269.4,2713666.1,52
5980333,1500 Hoe Avenue,11623202.4,10374383.6,6672021.5,124.4
2640846,Kings Realty,8226104.4,6275315.1,6252884,88.9
4473955,LOW HOUSES/GLENMORE PLAZA CAMPUS,139083397.2,196961158.1,96455351.3,198.7
4530840,KJ,10071930.5,27644943.8,5139855.2,502.8
5932277,385 3rd Avenue,6763706.3,5917563.6,4468541.3,93.5
