facgroup,total_capacity
SOLID WASTE,0
CHILD SERVICES AND WELFARE,0
SCHOOLS (K-12),465
DAY CARE AND PRE-KINDERGARTEN,0
HEALTH CARE,0
"OFFICES, TRAINING, AND TESTING",0
YOUTH SERVICES,0
CULTURAL INSTITUTIONS,0
PARKS AND PLAZAS,0
"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",0
HUMAN SERVICES,0
TRANSPORTATION,217
JUSTICE AND CORRECTIONS,0
