code1,phone_number,t5_phone_number,t6_code1,total,count,average
NO CODE,718-366-0154,718-366-0154,NO CODE,4.779999999999999,5,0.9559999999999998
Q61A,718-472-0536,718-472-0536,Q61A,0.94,1,0.94
M42J,212-737-1530,212-737-1530,M42J,0.93,1,0.93
Q39Z,718-286-3600,718-286-3600,Q39Z,0.92,1,0.92
