programtype,inspectiondate,total,average,count
PRESCHOOL,2021-12-02 00:00:00,,,1
PRESCHOOL CAMP,2021-07-28 00:00:00,0.0,0.0,1
PRESCHOOL,2021-10-14 00:00:00,66.6668,16.6667,4
INFANT TODDLER,2022-11-30 00:00:00,0.0,0.0,1
PRESCHOOL,2022-06-02 00:00:00,170.0,42.5,4
PRESCHOOL,2023-01-19 00:00:00,113.3334,18.8889,6
PRESCHOOL,2021-08-18 00:00:00,42.8571,14.2857,3
PRESCHOOL,2022-11-03 00:00:00,200.0,100.0,2
PRESCHOOL,2021-11-30 00:00:00,900.0,50.0,18
PRESCHOOL,2021-11-16 00:00:00,150.0,75.0,2
PRESCHOOL,2022-09-08 00:00:00,150.0,25.0,6
PRESCHOOL,2022-07-01 00:00:00,200.0,25.0,8
PRESCHOOL,2022-11-01 00:00:00,266.6668,66.6667,4
INFANT TODDLER,2023-02-02 00:00:00,0.0,0.0,2
PRESCHOOL,2021-01-27 00:00:00,133.3332,33.3333,4
PRESCHOOL,2022-06-01 00:00:00,120.0,60.0,2
PRESCHOOL,2022-04-26 00:00:00,1440.0,20.0,72
PRESCHOOL,2021-09-01 00:00:00,133.3334,66.6667,2
PRESCHOOL,2023-03-16 00:00:00,0.0,0.0,1
PRESCHOOL,2021-11-10 00:00:00,2133.3344,66.6667,32
PRESCHOOL,2023-03-15 00:00:00,100.0,50.0,2
INFANT TODDLER,2021-09-16 00:00:00,100.0,12.5,8
PRESCHOOL,2021-05-06 00:00:00,160.0,80.0,2
PRESCHOOL,2023-03-28 00:00:00,0.0,0.0,1
PRESCHOOL,2022-09-16 00:00:00,0.0,0.0,2
PRESCHOOL,2021-07-27 00:00:00,200.0,50.0,4
INFANT TODDLER,2022-12-21 00:00:00,0.0,0.0,1
PRESCHOOL,2022-09-09 00:00:00,100.0,50.0,2
INFANT TODDLER,2021-06-03 00:00:00,0.0,0.0,2
PRESCHOOL,2021-05-19 00:00:00,0.0,0.0,1
INFANT TODDLER,2023-04-04 00:00:00,0.0,0.0,1
PRESCHOOL,2023-02-24 00:00:00,80.0,20.0,4
PRESCHOOL,2022-04-04 00:00:00,0.0,0.0,1
ALL AGE CAMP,2020-07-24 00:00:00,50.0,25.0,2
INFANT TODDLER,2022-02-08 00:00:00,50.0,50.0,1
PRESCHOOL,2021-06-08 00:00:00,100.0,50.0,2
PRESCHOOL,2022-02-16 00:00:00,50.0,50.0,1
PRESCHOOL,2022-07-28 00:00:00,266.6664,33.3333,8
PRESCHOOL,2022-07-14 00:00:00,266.6664,33.3333,8
PRESCHOOL,2021-06-03 00:00:00,0.0,0.0,2
PRESCHOOL,2022-03-25 00:00:00,25.0,25.0,2
PRESCHOOL,2022-10-19 00:00:00,25.0,25.0,1
PRESCHOOL CAMP,2022-06-08 00:00:00,0.0,0.0,1
PRESCHOOL,2021-09-16 00:00:00,100.0,12.5,8
PRESCHOOL,2021-04-07 00:00:00,20.0,20.0,1
PRESCHOOL,2022-05-20 00:00:00,0.0,0.0,8
PRESCHOOL,2021-03-02 00:00:00,0.0,0.0,2
PRESCHOOL,2022-12-14 00:00:00,16.6667,8.33335,2
PRESCHOOL,2021-12-10 00:00:00,115200.0,50.0,2304
PRESCHOOL,2023-03-24 00:00:00,50.0,50.0,1
PRESCHOOL,2023-01-05 00:00:00,20.0,20.0,1
PRESCHOOL,2023-01-25 00:00:00,100.0,50.0,2
PRESCHOOL,2021-04-29 00:00:00,20.0,20.0,1
PRESCHOOL,2021-12-14 00:00:00,400.0,100.0,4
PRESCHOOL,2023-03-23 00:00:00,66.6666,33.3333,2
