job_filing_number,elevator_type,elevator_landing,elevator_operation,controller_manufacturer,category,count,avg_value,total_value,max_value
M00174384-I1,Passenger,"L,1-6",Power,DOVER,small,1,8.0,8.0,8.0
M00163402-I1,Passenger,7,Manual,,small,1,0.0,0.0,0.0
S08026288-P1,Passenger,3,Power,Smartrise,small,1,8.0,8.0,8.0
B00881496-I1,Passenger,"L,2,3,4,5",Power,Existing,small,1,8.0,8.0,8.0
X00643851-I1,Passenger,,,,small,1,,,
Q00322628-I1,Passenger,6,Power,GAL,small,1,8.0,8.0,8.0
M00193197-I1,Passenger,"B,L,OR,2-11",Power,,small,1,6.0,6.0,6.0
B00361636-I1,Passenger,5,Power,,small,1,0.0,0.0,0.0
Q00889875-I1,Passenger,6,Power,esi,small,1,8.0,8.0,8.0
M00547393-P2,Passenger,11,Power,,small,1,7.0,7.0,7.0
M00254733-I1,Passenger,12,Power,,small,1,3.0,3.0,3.0
M00315470-I1,Passenger,"B, 1-6",Power,,small,1,0.0,0.0,0.0
M01042439-I1,Passenger,L-80,Power,Otis,small,1,6.0,6.0,6.0
M00105366-I1,Passenger,4,Manual,Otis,small,1,0.0,0.0,0.0
M00318072-I1,Passenger,6,Power,,small,1,0.0,0.0,0.0
M01050759-I1,Passenger,"C,*1,2,3,4",Power,ESI,small,1,0.0,0.0,0.0
B01037519-I1,Passenger,6,Power,,small,1,9.0,9.0,9.0
X00187687-I1,Passenger,7,Power,,small,1,0.0,0.0,0.0
B01186523-I1,Passenger,1-2-3,Power,ESI,small,1,8.0,8.0,8.0
Q00279628-I1,Passenger,2,Power,,small,1,10.0,10.0,10.0
Q00305648-I1,Passenger,9,Power,,small,1,6.0,6.0,6.0
M00456084-I1,Passenger,,,,small,1,,,
B00102117-I1,Passenger,6,Power,,small,1,9.0,9.0,9.0
Q00275844-I1,Passenger,7,Manual,,small,1,9.0,9.0,9.0
Q00503279-I1,Passenger,,,,small,1,,,
M00898726-I1,Passenger,16,Power,MCE,small,1,8.0,8.0,8.0
M00183708-I1,Passenger,10,Power,,small,1,6.0,6.0,6.0
M00210757-I1,Passenger,"B, 1-4",Power,,small,1,1.0,1.0,1.0
B00197364-I1,Passenger,"L,2-6,R",Manual,,small,1,8.0,8.0,8.0
M00724655-I1,Passenger,"LL, L, 11-21",Power,Otis,small,1,5.0,5.0,5.0
M00026276-P1,Passenger,7,Power,,small,1,5.0,5.0,5.0
M00080062-P1,Passenger,17,Power,SMARTRISE,small,1,6.0,6.0,6.0
M00333832-I1,Passenger,2,Power,Dover,small,1,8.0,8.0,8.0
M00278202-I1,Passenger,7,Power,,small,1,7.0,7.0,7.0
M00121955-I1,Passenger,38,Power,,small,1,2.0,2.0,2.0
M00201338-I1,Passenger,C-PH,Power,,small,1,5.0,5.0,5.0
M00500935-I1,Passenger,,,,small,1,,,
M00047252-I1,Passenger,"1,2",Power,,small,1,2.0,2.0,2.0
M00171891-I1,Passenger,12,Power,,small,1,1.0,1.0,1.0
B00710408-I1,Passenger,"C, B, 1-8, R",Power,SMARTRISE,small,1,8.0,8.0,8.0
M00204225-I1,Passenger,15,Power,,small,1,7.0,7.0,7.0
X00688848-P1,Passenger,6,Power,ESI,small,1,0.0,0.0,0.0
M00128274-I1,Passenger,"B,L,M THRU 12",Power,MCE,small,1,3.0,3.0,3.0
