nta,queens_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_2_address,queens_cooperatives_comparable_properties_est_gross_income,queens_cooperatives_comparable_properties_building_classification,queens_cooperatives_comparable_properties_gross_income_per_sqft,queens_cooperatives_comparable_properties_year_built,rank,dense_rank
Forest Hills                                                               ,56.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 10 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1766335,D4-ELEVATOR,14.1,1930,5,2
Forest Hills                                                               ,57.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 55 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1836715,D4-ELEVATOR,14.5,1940,4,3
Forest Hills                                                               ,62.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 05 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1224300,D4-ELEVATOR,15.25,1949,3,4
Forest Hills                                                               ,63.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""98 01 67 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1774080,D4-ELEVATOR,15.4,1962,2,5
Forest Hills                                                               ,66.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 05 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",701589,D4-ELEVATOR,16.2,1950,1,6
Hunters Point-Sunnyside-West Maspeth                                       ,60.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""45 35 44 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",801000,D4-ELEVATOR,15.0,1942,2,1
Hunters Point-Sunnyside-West Maspeth                                       ,65.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 15 46 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1029600,D4-ELEVATOR,16.0,1932,1,2
Flushing                                                                   ,39.1,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""132 70 SANFORD AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1676100,D4-ELEVATOR,11.1,1937,3,1
Flushing                                                                   ,46.6,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 67 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2124356,D4-ELEVATOR,12.4,1962,2,2
Flushing                                                                   ,48.3,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 67 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1000000,D4-ELEVATOR,12.85,1966,1,3
Jackson Heights                                                            ,38.7,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 07 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",982800,D4-ELEVATOR,11.0,1956,1,1
Murray Hill                                                                ,49.2,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 28 SMART STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",170000,C6-WALK-UP,13.08,1951,2,1
Murray Hill                                                                ,51.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 31 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1168776,D4-ELEVATOR,13.5,1962,1,2
Corona                                                                     ,48.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 23 COLDEN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3001860,D4-ELEVATOR,12.75,1962,1,1
Lindenwood-Howard Beach                                                    ,23.62,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 21 112 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",570601,C6-WALK-UP,7.7,1958,2,1
Lindenwood-Howard Beach                                                    ,41.7,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""156 01 NORTH CONDUIT AVEN"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1761180,D4-ELEVATOR,11.82,1962,1,2
Ft. Totten-Bay Terrace-Clearview                                           ,58.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 70 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5940363,D4-ELEVATOR,14.57,1961,1,1
Ft. Totten-Bay Terrace-Clearview                                           ,58.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 06 164 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1374666,C6-WALK-UP,14.52,1957,2,1
North Corona                                                               ,50.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 23 COLDEN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3857000,D4-ELEVATOR,13.3,1953,1,1
Rego Park                                                                  ,55.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""120 07 85 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1322048,D4-ELEVATOR,14.0,1963,1,1
Rego Park                                                                  ,56.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""120 07 85 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",809424,D4-ELEVATOR,14.0,1964,1,2
Briarwood-Jamaica Hills                                                    ,54.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 57 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3468566,D4-ELEVATOR,13.7,1955,1,1
Whitestone                                                                 ,40.5,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""38 15 BOWNE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",467958,D4-ELEVATOR,11.5,1958,1,1
Astoria                                                                    ,47.5,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""116 30"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",212352,D4-ELEVATOR,12.64,1971,1,1
