address_1,total_electricity_use
1071 Fifth Avenue,3064978.2
70 Ocean Parkway,412879.9
194 Harman Street,756399.9
33-09 35th Avenue,690799.9
400 Ashford Street,422239.9
54-25 Skillman Avenue,1311599.9
223 Graham Avenue,577599.9
179-01 90th Avenue,455479.9
149-11 Melbourne Avenue,1642399.8
41 Madison Ave,4836140.5
560 Lexington Avenue,3346902.0
4210 Arthur Kill Road,84000.0
65-10 Dieterle Crescent,318400.0
8973 Bay Parkway Suite 1,1762835.8
439 West 49th Street,1343999.8
616 Quincy Street,539599.9
1375 Mace Avenue,289120.0
2 Penn Plaza,13928261.0
490 Hudson Street,351519.9
57-12 94th Street,799999.9
120 East 184th Street,1035959.8
350 Gerard Avenue,1007999.9
75-10 21st Avenue,226400.0
149 East Mosholu Parkway,1079199.8
1695 Seward Avenue,323040.0
9115 5th Avenue,545599.9
639 St Ann's Avenue,8400.0
116 West 11th Street,326812.0
188 Rochester Avenue,583599.9
1070 Castle Hill Avenue,334720.0
250 West 18th Street,551999.9
825 4th Avenue,266240.0
681 Kelly Street,538799.9
34 West 118th Street,770399.9
24 State Street,10251529.9
1007 Evergreen Avenue,355200.0
27-01 QUEENS PLAZA NORTH,8570248.6
1328 Putnam Avenue,269360.0
215 West 114th Street,1527199.7
8010 12th Avenue,486399.9
1399 Ogden Avenue,377200.0
420 Beach 51st Street,421920.0
15-30 Petracca Place,920156.4
35-01 Union Street,1102159.8
900 Tinton Avenue,687999.9
2944 Pitkin Avenue,261200.0
227 Sterling Place,237920.0
58 Lawrence Avenue,332000.0
74-01 78th Avenue,565599.9
800 Gates Avenue,1260183.5
