location_name,location_code,t3_location_code,t4_location_name,category,count,avg_value,total_value,max_value
Democracy Prep Endurance Charter School,M065,M065,Democracy Prep Endurance Charter School,recent,1,2020.0,2020,2020
Harlem Village Academy East Charter School,M335,M335,Harlem Village Academy East Charter School,recent,1,2020.0,2020,2020
Bushwick Leaders High School for Academic Excellen,K556,K556,Bushwick Leaders High School for Academic Excellen,recent,1,2020.0,2020,2020
P.S. 205 Clarion,K205,K205,P.S. 205 Clarion,recent,1,2020.0,2020,2020
Achievement First Bushwick Charter School,K538,K538,Achievement First Bushwick Charter School,recent,1,2020.0,2020,2020
Bedford Academy High School,K595,K595,Bedford Academy High School,recent,1,2020.0,2020,2020
The International Charter School of New York,K766,K766,The International Charter School of New York,recent,1,2020.0,2020,2020
P.S. 131 Brooklyn,K131,K131,P.S. 131 Brooklyn,recent,1,2020.0,2020,2020
Samuel J. Tilden High School,K415,K415,Samuel J. Tilden High School,recent,1,2020.0,2020,2020
J.H.S. 050 John D. Wells,K050,K050,J.H.S. 050 John D. Wells,recent,1,2020.0,2020,2020
KAPPA IV,M302,M302,KAPPA IV,recent,1,2020.0,2020,2020
The Academy of Talented Scholars,K682,K682,The Academy of Talented Scholars,recent,1,2020.0,2020,2020
P.S. 101 Andrew Draper,M101,M101,P.S. 101 Andrew Draper,recent,1,2020.0,2020,2020
River East Elementary,M037,M037,River East Elementary,recent,1,2020.0,2020,2020
Success Academy Charter School - Bed Stuy 3,K883,K883,Success Academy Charter School - Bed Stuy 3,recent,1,2020.0,2020,2020
P.S. 134 Henrietta Szold,M134,M134,P.S. 134 Henrietta Szold,recent,1,2020.0,2020,2020
N.Y.C. Lab School for Collaborative Studies,M412,M412,N.Y.C. Lab School for Collaborative Studies,recent,1,2020.0,2020,2020
P.S. 132 Juan Pablo Duarte,M132,M132,P.S. 132 Juan Pablo Duarte,recent,1,2020.0,2020,2020
P.S. 018 Park Terrace,M018,M018,P.S. 018 Park Terrace,recent,1,2020.0,2020,2020
P.S. 149 Sojourner Truth,M149,M149,P.S. 149 Sojourner Truth,recent,1,2020.0,2020,2020
Innovation Diploma Plus,M404,M404,Innovation Diploma Plus,recent,1,2020.0,2020,2020
P.S. 747 A Great Start Academy,K747,K747,P.S. 747 A Great Start Academy,recent,1,2020.0,2020,2020
P.S. 399 Stanley Eugene Clark,K399,K399,P.S. 399 Stanley Eugene Clark,recent,1,2020.0,2020,2020
Cypress Hills Collegiate Preparatory School,K659,K659,Cypress Hills Collegiate Preparatory School,recent,1,2020.0,2020,2020
Freedom Academy High School,K509,K509,Freedom Academy High School,recent,1,2020.0,2020,2020
P.S. 251 Paerdegat,K251,K251,P.S. 251 Paerdegat,recent,1,2020.0,2020,2020
M.S. 061 Dr. Gladstone H. Atwell,K061,K061,M.S. 061 Dr. Gladstone H. Atwell,recent,1,2020.0,2020,2020
The Uft Charter School,K359,K359,The Uft Charter School,recent,1,2020.0,2020,2020
School of Science & Technology,K152,K152,School of Science & Technology,recent,2,2020.0,4040,2020
Leadership Preparatory Brownsville Charter School,K711,K711,Leadership Preparatory Brownsville Charter School,recent,1,2020.0,2020,2020
P.S. 151 Lyndon B. Johnson,K151,K151,P.S. 151 Lyndon B. Johnson,recent,1,2020.0,2020,2020
Coney Island Preparatory Public Charter School,K744,K744,Coney Island Preparatory Public Charter School,recent,2,2020.0,4040,2020
Academy of Innovative Technology,K618,K618,Academy of Innovative Technology,recent,1,2020.0,2020,2020
P.S. 333 Manhattan School for Children,M333,M333,P.S. 333 Manhattan School for Children,recent,1,2020.0,2020,2020
The Math & Science Exploratory School,K447,K447,The Math & Science Exploratory School,recent,1,2020.0,2020,2020
Urban Assembly Institute of Math and Science for Y,K527,K527,Urban Assembly Institute of Math and Science for Y,recent,1,2020.0,2020,2020
IS 370m Learning Project Ms,M370,M370,IS 370m Learning Project Ms,recent,1,2020.0,2020,2020
P.S./I.S. 217 Roosevelt Island,M217,M217,P.S./I.S. 217 Roosevelt Island,recent,1,2020.0,2020,2020
Riverdale Avenue Community School,K446,K446,Riverdale Avenue Community School,recent,1,2020.0,2020,2020
Capital Preparatory (CP) Harlem Charter School,M204,M204,Capital Preparatory (CP) Harlem Charter School,recent,1,2020.0,2020,2020
P.S. 139 Alexine A. Fenty,K139,K139,P.S. 139 Alexine A. Fenty,recent,1,2020.0,2020,2020
Brooklyn Arts and Science Elementary School,K705,K705,Brooklyn Arts and Science Elementary School,recent,1,2020.0,2020,2020
ACORN Community High School,K499,K499,ACORN Community High School,recent,1,2020.0,2020,2020
Community Preparatory High School,K612,K612,Community Preparatory High School,recent,1,2020.0,2020,2020
Brooklyn High School for Law and Technology,K498,K498,Brooklyn High School for Law and Technology,recent,1,2020.0,2020,2020
Wadleigh Secondary School for the Performing & Vis,M415,M415,Wadleigh Secondary School for the Performing & Vis,recent,1,2020.0,2020,2020
P.S. 188 The Island School,M188,M188,P.S. 188 The Island School,recent,1,2020.0,2020,2020
I.S. 136 Charles O. Dewey,K136,K136,I.S. 136 Charles O. Dewey,recent,1,2020.0,2020,2020
P.S. M169 - Robert F. Kennedy,M169,M169,P.S. M169 - Robert F. Kennedy,recent,1,2020.0,2020,2020
P.S. 219 Kennedy-King,K219,K219,P.S. 219 Kennedy-King,recent,1,2020.0,2020,2020
